LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
2003-2,Calcium,SCnc,Pt,Urine,Ord,,CHEM,2.36,DEPRECATED,1,,,,"Deprecated Calcium",,1.0,false,Calcium:SCnc:Pt:Urine:Ord:
57919-3,Calcium,MCnc,Pt,Flu.nonbiological,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Nonbiological fluid",mg/dL,2.29,false,Calcium:MCnc:Pt:Flu.nonbiological:Qn:
17862-4,Calcium,MCnc,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Urine",mg/dL,1.0l,false,Calcium:MCnc:Pt:Urine:Qn:
1996-8,Calcium,SCnc,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L;mEq/L,"Calcium [Moles/volume] in Blood",mmol/L,1.0,false,Calcium:SCnc:Pt:Bld:Qn:
54364-5,Calcium,SCnc,Pt,Flu.nonbiological,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Nonbiological fluid",mmol/L,2.27,false,Calcium:SCnc:Pt:Flu.nonbiological:Qn:
2004-0,Calcium,SCnc,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Urine",mmol/L,1.0,false,Calcium:SCnc:Pt:Urine:Qn:
1381-3,"Calcium^10M post 2.4 mg/kg calcium short IV",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Serum or Plasma --10 minutes post 2.4 mg/kg calcium short IV",mmol/L,1.0,false,"Calcium^10M post 2.4 mg/kg calcium short IV:SCnc:Pt:Ser/Plas:Qn:"
1382-1,"Calcium^5M post 2.4 mg/kg calcium short IV",SCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Serum or Plasma --5 minutes post 2.4 mg/kg calcium short IV",mmol/L,1.0,false,"Calcium^5M post 2.4 mg/kg calcium short IV:SCnc:Pt:Ser/Plas:Qn:"
57335-2,Calcium,MCnc,12H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in 12 hour Urine",mg/dL,2.29,false,Calcium:MCnc:12H:Urine:Qn:
49765-1,Calcium,MCnc,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Blood",mg/dL,2.22,false,Calcium:MCnc:Pt:Bld:Qn:
30527-6,Calcium,MCnc,Pt,TPN,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Total parental nutrition",mg/dL,2.04,false,Calcium:MCnc:Pt:TPN:Qn:
35675-8,Calcium,MCnc,XXX,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/L,"Calcium [Mass/volume] in Urine collected for unspecified duration",mg/L,2.13,false,Calcium:MCnc:XXX:Urine:Qn:
16273-5,Calcium,MCnt,Pt,RBC,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/g,"Calcium [Mass/mass] in Red Blood Cells",mg/g{Hb},1.0l,false,Calcium:MCnt:Pt:RBC:Qn:
18186-7,Calcium,MRat,12H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/12 H","Calcium [Mass/time] in 12 hour Urine",mg/(12.h),1.0l,false,Calcium:MRat:12H:Urine:Qn:
59000-0,Calcium,MRat,18H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,"mg/18 H","Calcium [Mass/time] in 18 hour Urine",mg/(18.h),2.32,false,Calcium:MRat:18H:Urine:Qn:
35247-6,Calcium,MSCnc,Pt,Urine,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Calcium [Mass or Moles/volume] in Urine",,2.11,false,Calcium:MSCnc:Pt:Urine:Qn:
14636-5,Calcium,PrThr,Pt,Calculus,Ord,,CHEM,2.56,ACTIVE,1,Both,,,"Calcium [Presence] in Stone",,1.0k,false,Calcium:PrThr:Pt:Calculus:Ord:
14416-2,Calcium,SCnc,Pt,"Plr fld",Qn,,CHEM,2.42,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Pleural fluid",mmol/L,1.0k,false,"Calcium:SCnc:Pt:Plr fld:Qn:"
74516-6,Calcium,SCnc,Pt,Saliva,Qn,,CHEM,2.48,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Saliva (oral fluid)",mmol/L,2.48,false,Calcium:SCnc:Pt:Saliva:Qn:
10559-3,Calcium,SCnc,Pt,Smpls,Qn,,FERT,2.70,DEPRECATED,1,,,mmol/L,"Deprecated Calcium [Molecules/volume] in Semen",mmol/L,1.0i,false,Calcium:SCnc:Pt:Smpls:Qn:
53100-4,Calcium,SCnc,Pt,TPN,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Total parental nutrition",mmol/L,2.24,false,Calcium:SCnc:Pt:TPN:Qn:
71790-0,Calcium,SCnc,XXX,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Urine collected for unspecified duration",mmol/L,2.40,false,Calcium:SCnc:XXX:Urine:Qn:
51610-4,Calcium,SRat,12H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,"mmol/12 H","Calcium [Moles/time] in 12 hour Urine",mmol/(12.h),2.24,false,Calcium:SRat:12H:Urine:Qn:
32541-5,Calcium,Sub,XXX,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol,"Calcium [Molar amount] in Urine collected for unspecified duration",mmol,2.08,false,Calcium:Sub:XXX:Urine:Qn:
61436-2,"PhenX - calcium intake - pediatric protocol 050201",-,Pt,^Patient,-,PhenX,PANEL.PHENX,2.66,TRIAL,2,,,,"PhenX - calcium intake - pediatric protocol 050201",,2.34,true,"PhenX - calcium intake - pediatric protocol 050201:-:Pt:^Patient:-:PhenX"
18488-7,Calcium,MCnc,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/dL; mg/L","Calcium [Mass/volume] in 24 hour Urine",mg/L,1.0l,false,Calcium:MCnc:24H:Urine:Qn:
57334-5,Calcium,MCnc,2H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in 2 hour Urine",mg/dL,2.29,false,Calcium:MCnc:2H:Urine:Qn:
12511-2,Calcium,MCnc,4H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in 4 hour Urine",mg/dL,1.0j-a,false,Calcium:MCnc:4H:Urine:Qn:
27373-0,Calcium,MCnc,Pt,"Dial fld",Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Dialysis fluid",mg/dL,2.00,false,"Calcium:MCnc:Pt:Dial fld:Qn:"
69425-7,Calcium,MCnc,Pt,Semen,Qn,,FERT,2.70,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Semen",mg/dL,2.40,false,Calcium:MCnc:Pt:Semen:Qn:
94839-8,Calcium,MCnc,Pt,Urine^Fetus,Qn,,CHEM,2.68,ACTIVE,1,Observation,,mg/dl,"Calcium [Mass/volume] in Urine from Fetus",mg/dL,2.68,false,Calcium:MCnc:Pt:Urine^Fetus:Qn:
38250-7,Calcium,MCnc,Pt,XXX,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Specimen",mg/dL,2.13,false,Calcium:MCnc:Pt:XXX:Qn:
53455-2,Calcium,MCnt,Pt,XXX,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/g,"Calcium [Mass/mass] in Specimen",mg/g,2.26,false,Calcium:MCnt:Pt:XXX:Qn:
87477-6,Calcium,MFr,Pt,XXX,Qn,,CHEM,2.69,ACTIVE,1,Observation,,%,"Calcium in Specimen",%,2.63,false,Calcium:MFr:Pt:XXX:Qn:
6874-2,Calcium,MRat,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/24 H","Calcium [Mass/time] in 24 hour Urine",mg/(24.h),1.0h(2),false,Calcium:MRat:24H:Urine:Qn:
16518-3,Calcium,MRat,2H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/2 H","Calcium [Mass/time] in 2 hour Urine",mg/(2.h),1.0l,false,Calcium:MRat:2H:Urine:Qn:
27091-8,Calcium,MRat,4H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,"mg/24 H","Calcium [Mass/time] in 4 hour Urine",mg/(24.h),2.00,false,Calcium:MRat:4H:Urine:Qn:
35248-4,Calcium,MSCnc,24H,Urine,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Calcium [Mass or Moles/volume] in 24 hour Urine",,2.11,false,Calcium:MSCnc:24H:Urine:Qn:
25362-5,Calcium,SCnc,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in 24 hour Urine",mmol/L,2.00,false,Calcium:SCnc:24H:Urine:Qn:
104654-9,Calcium,SCnc,Pt,BldA,Qn,,CHEM,2.78,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Arterial blood",mmol/L,2.78,false,Calcium:SCnc:Pt:BldA:Qn:
42857-3,Calcium,SCnc,Pt,BldV,Qn,,CHEM,2.42,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Venous blood",mmol/L,2.16,false,Calcium:SCnc:Pt:BldV:Qn:
1998-4,Calcium,SCnc,Pt,"Dial fld",Qn,,CHEM,2.34,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Dialysis fluid",mmol/L,1.0,false,"Calcium:SCnc:Pt:Dial fld:Qn:"
14419-6,Calcium,SCnc,Pt,"Gast fld",Qn,,CHEM,2.42,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Gastric fluid",mmol/L,1.0k,false,"Calcium:SCnc:Pt:Gast fld:Qn:"
14417-0,Calcium,SCnc,Pt,"Periton fld",Qn,,CHEM,2.42,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Peritoneal fluid",mmol/L,1.0k,false,"Calcium:SCnc:Pt:Periton fld:Qn:"
25583-6,Calcium,SCnc,Pt,RBC,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Red Blood Cells",mmol/L,2.00,false,Calcium:SCnc:Pt:RBC:Qn:
1999-2,Calcium,SCnc,Pt,Semen,Qn,,CHEM,2.42,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Semen",mmol/L,1.0,false,Calcium:SCnc:Pt:Semen:Qn:
2002-4,Calcium,SCnc,Pt,Stool,Qn,,CHEM,2.42,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Stool",mmol/L,1.0,false,Calcium:SCnc:Pt:Stool:Qn:
32305-5,Calcium,SCnc,Pt,XXX,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Specimen",mmol/L,2.07,false,Calcium:SCnc:Pt:XXX:Qn:
53502-1,Calcium,SCnt,Pt,XXX,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/g,"Calcium [Moles/mass] in Specimen",mmol/g,2.26,false,Calcium:SCnt:Pt:XXX:Qn:
14637-3,Calcium,SRat,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mmol/24 H","Calcium [Moles/time] in 24 hour Urine",mmol/(24.h),1.0k,false,Calcium:SRat:24H:Urine:Qn:
44716-9,Creatinine/Calcium,MRto,Pt,Urine,Qn,,CHEM,2.42,ACTIVE,1,Both,,,"Creatinine/Calcium [Mass Ratio] in Urine",,2.17,false,Creatinine/Calcium:MRto:Pt:Urine:Qn:
17861-6,Calcium,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Serum or Plasma",mg/dL,1.0l,false,Calcium:MCnc:Pt:Ser/Plas:Qn:
27172-6,Calcium,MCnt,24H,Stool,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/kg,"Calcium [Mass/mass] in 24 hour Stool",mg/kg,2.00,false,Calcium:MCnt:24H:Stool:Qn:
35246-8,Calcium,MSCnc,Pt,Ser/Plas,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Calcium [Mass or Moles/volume] in Serum or Plasma",,2.11,false,Calcium:MSCnc:Pt:Ser/Plas:Qn:
42593-4,Calcium,SCnc,Pt,BldC,Qn,,CHEM,2.42,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Capillary blood",mmol/L,2.16,false,Calcium:SCnc:Pt:BldC:Qn:
54365-2,Calcium,SCnc,Pt,BldCo,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Cord blood",mmol/L,2.27,false,Calcium:SCnc:Pt:BldCo:Qn:
2000-8,Calcium,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L;mEq/L,"Calcium [Moles/volume] in Serum or Plasma",mmol/L,1.0,false,Calcium:SCnc:Pt:Ser/Plas:Qn:
53124-4,Calcium,SRat,1H,Urine,Qn,,CHEM,2.44,ACTIVE,1,Both,,mmol/h,"Calcium [Moles/time] in 1 hour Urine",mmol/h,2.24,false,Calcium:SRat:1H:Urine:Qn:
9321-1,Calcium/Creatinine,MRto,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/g creatinine","Calcium/Creatinine [Mass Ratio] in Urine",mg/g{creat},1.0i,false,Calcium/Creatinine:MRto:Pt:Urine:Qn:
24518-3,Calcium/Creatinine,SRto,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mol/mol creatinine","Calcium/Creatinine [Molar ratio] in Urine",mol/mol{creat},1.0o,false,Calcium/Creatinine:SRto:Pt:Urine:Qn:
61452-9,"How often was the orange juice you drank calcium fortified in the past 30D",Find,30D,^Patient,Ord,PhenX,PHENX,2.65,TRIAL,2,,,,"How often was the orange juice you drank calcium fortified in the past 30 days [PhenX]",,2.34,false,"How often was the orange juice you drank calcium fortified in the past 30D:Find:30D:^Patient:Ord:PhenX"
49764-4,Calcium,MCnc,Pt,"Amnio fld",Qn,,CHEM,2.34,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Amniotic fluid",mg/dL,2.22,false,"Calcium:MCnc:Pt:Amnio fld:Qn:"
15155-5,Calcium,MCnc,Pt,"Body fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Body fluid",mg/dL,1.0k,false,"Calcium:MCnc:Pt:Body fld:Qn:"
58781-6,Calcium,MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Peritoneal dialysis fluid",mg/dL,2.32,false,"Calcium:MCnc:Pt:Dial fld prt:Qn:"
2001-6,Calcium,SCnc,24H,Stool,Qn,,CHEM,2.42,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in 24 hour Stool",mmol/L,1.0,false,Calcium:SCnc:24H:Stool:Qn:
14415-4,Calcium,SCnc,Pt,"Amnio fld",Qn,,CHEM,2.42,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Amniotic fluid",mmol/L,1.0k,false,"Calcium:SCnc:Pt:Amnio fld:Qn:"
12181-4,Calcium,SCnc,Pt,"Body fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Body fluid",mmol/L,1.0j-a,false,"Calcium:SCnc:Pt:Body fld:Qn:"
1997-6,Calcium,SCnc,Pt,CSF,Qn,,CHEM,2.34,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Cerebral spinal fluid",mmol/L,1.0,false,Calcium:SCnc:Pt:CSF:Qn:
49005-2,Calcium,SCnc,Pt,"Dial fld prt",Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Peritoneal dialysis fluid",mmol/L,2.21,false,"Calcium:SCnc:Pt:Dial fld prt:Qn:"
13717-4,Calcium/Creatinine,MRto,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/g creatinine","Calcium/Creatinine [Mass Ratio] in 24 hour Urine",mg/g{creat},1.0k,false,Calcium/Creatinine:MRto:24H:Urine:Qn:
99074-7,Calcium/Creatinine,MRto,Pt,Urine^Fetus,Qn,,CHEM,2.72,ACTIVE,1,Observation,,"mg/mg creatinine","Calcium/Creatinine [Mass Ratio] in Urine from Fetus",mg/mg{creat},2.72,false,Calcium/Creatinine:MRto:Pt:Urine^Fetus:Qn:
50839-0,Calcium/Creatinine,SRto,24H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,"mmol/mol creatinine","Calcium/Creatinine [Molar ratio] in 24 hour Urine",mmol/mol{creat},2.22,false,Calcium/Creatinine:SRto:24H:Urine:Qn:
13448-6,Calcium/Osmolality,Ratio,Pt,Ser/Plas,Qn,,CHEM,2.69,ACTIVE,1,Observation,,,"Calcium/Osmolality [Ratio] in Serum or Plasma",,1.0j-a,false,Calcium/Osmolality:Ratio:Pt:Ser/Plas:Qn:
49937-6,Calcium/Oxalate,SRto,Pt,Urine,Qn,,CHEM,2.42,ACTIVE,1,Observation,,,"Calcium/Oxalate [Molar ratio] in Urine",,2.22,false,Calcium/Oxalate:SRto:Pt:Urine:Qn:
40067-1,Calcium^baseline,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mg/dL,"Calcium [Mass/volume] in Serum or Plasma --baseline",mg/dL,2.15,false,Calcium^baseline:MCnc:Pt:Ser/Plas:Qn:
40226-3,Calcium^baseline,SCnc,Pt,Ser/Plas,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Serum or Plasma --baseline",mmol/L,2.15,false,Calcium^baseline:SCnc:Pt:Ser/Plas:Qn:
61435-4,"Calcium Intake (Daily) Protocols",-,Pt,^Patient,-,PhenX,PANEL.PHENX,2.38,DEPRECATED,2,,,,"Deprecated Deprecated Calcium Intake (Daily) Protocols PhenX",,2.34,false,"Calcium Intake (Daily) Protocols:-:Pt:^Patient:-:PhenX"
14418-8,Calcium,SCnc,Pt,"Synv fld",Qn,,CHEM,2.42,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in Synovial fluid",mmol/L,1.0k,false,"Calcium:SCnc:Pt:Synv fld:Qn:"
13444-5,Calcium/Albumin,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,,"Calcium/Albumin [Mass Ratio] in Serum or Plasma",,1.0j-a,false,Calcium/Albumin:MRto:Pt:Ser/Plas:Qn:
27037-1,Calcium/Creatinine,MRto,2H,Urine,Qn,,CHEM,2.44,ACTIVE,1,Both,,"mg/g creatinine","Calcium/Creatinine [Mass Ratio] in 2 hour Urine",mg/g{creat},2.00,false,Calcium/Creatinine:MRto:2H:Urine:Qn:
16526-6,Calcium/Protein,MRto,Pt,Ser/Plas,Qn,,CHEM,2.42,ACTIVE,1,Observation,,,"Calcium/Protein [Mass Ratio] in Serum or Plasma",,1.0l,false,Calcium/Protein:MRto:Pt:Ser/Plas:Qn:
16527-4,Calcium/Sodium,MRto,Pt,Ser/Plas,Qn,,CHEM,2.42,ACTIVE,1,Observation,,,"Calcium/Sodium [Mass Ratio] in Serum or Plasma",,1.0l,false,Calcium/Sodium:MRto:Pt:Ser/Plas:Qn:
47597-0,"Calcium^^corrected for total protein",SCnc,Pt,Bld,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] corrected for total protein in Blood",mmol/L,2.21,false,"Calcium^^corrected for total protein:SCnc:Pt:Bld:Qn:"
62289-4,"PhenX - calcium intake - adult protocol 050202",-,Pt,^Patient,-,PhenX,PANEL.PHENX,2.66,TRIAL,2,,,,"PhenX - calcium intake - adult protocol 050202",,2.34,true,"PhenX - calcium intake - adult protocol 050202:-:Pt:^Patient:-:PhenX"
46099-8,"Calcium^^corrected for albumin",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mg/dL,"Calcium [Mass/volume] corrected for albumin in Serum or Plasma",mg/dL,2.17,false,"Calcium^^corrected for albumin:MCnc:Pt:Ser/Plas:Qn:"
29265-6,"Calcium^^corrected for albumin",SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] corrected for albumin in Serum or Plasma",mmol/L,2.03,false,"Calcium^^corrected for albumin:SCnc:Pt:Ser/Plas:Qn:"
51950-4,"Calcium^post dialysis",MCnc,Pt,Ser/Plas,Qn,,CHEM,2.40,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in Serum or Plasma --post dialysis",mg/dL,2.24,false,"Calcium^post dialysis:MCnc:Pt:Ser/Plas:Qn:"
49936-8,"Calcium.ionized/Calcium.total^^corrected for albumin",MFr,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Observation,,%,"Calcium.ionized/Calcium.total corrected for albumin in Blood",%,2.22,false,"Calcium.ionized/Calcium.total^^corrected for albumin:MFr:Pt:Bld:Qn:"
35264-1,"Calcium intake",MRat,24H,^Patient,Qn,,IO_IN_SALTS+CALS,2.61,ACTIVE,2,Both,,mg/24H,"Calcium intake 24 hour",mg/(24.h),2.11,false,"Calcium intake:MRat:24H:^Patient:Qn:"
9049-8,"Calcium intake",SRat,10H,^Patient,Qn,,IO_IN_SALTS+CALS,2.48,ACTIVE,2,,,"mol/10 H","Calcium intake 10 hour",mol/(10.h),1.0i,false,"Calcium intake:SRat:10H:^Patient:Qn:"
9050-6,"Calcium intake",SRat,12H,^Patient,Qn,,IO_IN_SALTS+CALS,2.48,ACTIVE,2,,,"mol/12 H","Calcium intake 12 hour",mol/(12.h),1.0i,false,"Calcium intake:SRat:12H:^Patient:Qn:"
9048-0,"Calcium intake",SRat,8H,^Patient,Qn,,IO_IN_SALTS+CALS,2.48,ACTIVE,2,,,"mol/8 H","Calcium intake 8 hour",mol/(8.h),1.0i,false,"Calcium intake:SRat:8H:^Patient:Qn:"
9045-6,"Calcium intake",Sub,Pt,^Patient,Qn,Estimated,IO_IN_SALTS+CALS,2.48,ACTIVE,2,,,mol,"Calcium intake Estimated",mol,1.0i,false,"Calcium intake:Sub:Pt:^Patient:Qn:Estimated"
9046-4,"Calcium intake",Sub,Pt,^Patient,Qn,Measured,IO_IN_SALTS+CALS,2.48,ACTIVE,2,,,mol,"Calcium intake Measured",mol,1.0i,false,"Calcium intake:Sub:Pt:^Patient:Qn:Measured"
38230-9,Calcium.ionized,MCnc,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium.ionized [Mass/volume] in Blood",mg/dL,2.13,false,Calcium.ionized:MCnc:Pt:Bld:Qn:
1994-3,Calcium.ionized,SCnc,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Calcium.ionized [Moles/volume] in Blood",mmol/L,1.0,false,Calcium.ionized:SCnc:Pt:Bld:Qn:
74909-3,"Calcium oxalate dihydrate/Total",MFr,Pt,Calculus,Qn,,CHEM,2.48,ACTIVE,1,Both,,%,"Calcium oxalate dihydrate/Total in Stone",%,2.48,false,"Calcium oxalate dihydrate/Total:MFr:Pt:Calculus:Qn:"
33789-9,"Calcium^10th specimen post XXX challenge",SCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --10th specimen post XXX challenge",mmol/L,2.09,false,"Calcium^10th specimen post XXX challenge:SCnc:Pt:Urine:Qn:"
16521-7,"Calcium^3rd specimen post XXX challenge",SCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --3rd specimen post XXX challenge",mmol/L,1.0l,false,"Calcium^3rd specimen post XXX challenge:SCnc:Pt:Urine:Qn:"
16522-5,"Calcium^4th specimen post XXX challenge",SCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --4th specimen post XXX challenge",mmol/L,1.0l,false,"Calcium^4th specimen post XXX challenge:SCnc:Pt:Urine:Qn:"
