Query,LOINC Code,Name,Component,System,Property,Measurement,Normalized_Score
bilirubin in plasma,105088-9,epithelial cell non squamous presence urine sediment,epithelial cell non squamous,urine sed,prthr,presence,0.0446623
bilirubin in plasma,90044-9,epithelial cell renal presence urine sediment,epithelial cell renal,urine sed,prthr,presence,0.05349871
bilirubin in plasma,14384-2,mononuclear cell leukocyte urine sediment manual count,mononuclear cell leukocyte,urine sed,nfr,,0.066929385
bilirubin in plasma,20453-7,epithelial cell presence urine sediment light microscopy,epithelial cell,urine sed,prthr,presence,0.050403938
bilirubin in plasma,8249-5,transitional cell presence urine sediment light microscopy,transitional cell,urine sed,prthr,presence,0.051626112
bilirubin in plasma,13653-1,epithelial cell renal volume urine sediment,epithelial cell renal,urine sed,number concentration,volume,0.081301264
bilirubin in plasma,12248-1,epithelial cell renal presence urine sediment light microscopy,epithelial cell renal,urine sed,prthr,presence,0.06754196
bilirubin in plasma,99876-5,deep transitional cell area urine sediment computer assisted method,transitional cell deep,urine sed,naric,area,0.05267299
bilirubin in plasma,99873-2,superficial transitional cell area urine sediment computer assisted method,transitional cell superficial,urine sed,naric,area,0.05785151
bilirubin in plasma,33342-7,epithelial cell area urine sediment automated count,epithelial cell,urine sed,naric,area,0.055067476
bilirubin in plasma,5787-7,epithelial cell area urine sediment microscopy high power field,epithelial cell,urine sed,naric,area,0.06279422
bilirubin in plasma,46133-5,epithelial cell area urine sediment microscopy low power field,epithelial cell,urine sed,naric,area,0.061885
bilirubin in plasma,53972-6,burr cell presence urine sediment light microscopy,burr cell,urine sed,prthr,presence,0.059728596
bilirubin in plasma,30089-7,transitional cell area urine sediment microscopy high power field,transitional cell,urine sed,naric,area,0.06193204
bilirubin in plasma,46136-8,transitional cell area urine sediment microscopy low power field,transitional cell,urine sed,naric,area,0.06204517
bilirubin in plasma,58456-5,bladder cell presence urine sediment light microscopy,bladder cell,urine sed,prthr,presence,0.052875157
bilirubin in plasma,107170-3,tubular cell volume urine sediment,tubular cell,urine sed,number concentration,volume,0.07769144
bilirubin in plasma,11276-3,tubular cell presence urine sediment light microscopy,tubular cell,urine sed,prthr,presence,0.06639486
bilirubin in plasma,53294-5,epithelial cell non squamous area urine sediment automated count,epithelial cell non squamous,urine sed,naric,area,0.049475096
bilirubin in plasma,41284-1,epithelial cell non squamous area urine sediment microscopy high power field,epithelial cell non squamous,urine sed,naric,area,0.06364557
bilirubin in plasma,53132-7,epithelial cell non squamous area urine sediment microscopy low power field,epithelial cell non squamous,urine sed,naric,area,0.05867267
bilirubin in plasma,53978-3,epithelial cell non squamous presence urine sediment light microscopy,epithelial cell non squamous,urine sed,prthr,presence,0.0515759
bilirubin in plasma,26052-1,epithelial cell renal area urine sediment microscopy high power field,epithelial cell renal,urine sed,naric,area,0.07457201
bilirubin in plasma,45391-0,epithelial cell renal area urine sediment microscopy low power field,epithelial cell renal,urine sed,naric,area,0.06893066
bilirubin in plasma,99875-7,deep transitional cell presence urine sediment computer assisted method,transitional cell deep,urine sed,prthr,presence,0.044353973
bilirubin in plasma,99872-4,superficial transitional cell presence urine sediment computer assisted method,transitional cell superficial,urine sed,prthr,presence,0.04865069
bilirubin in plasma,11278-9,bladder cell area urine sediment microscopy high power field,bladder cell,urine sed,naric,area,0.068025514
bilirubin in plasma,99877-3,deep transitional cell volume urine sediment computer assisted method,transitional cell deep,urine sed,number concentration,volume,0.07018419
bilirubin in plasma,99874-0,superficial transitional cell volume urine sediment computer assisted method,transitional cell superficial,urine sed,number concentration,volume,0.07432792
bilirubin in plasma,87830-6,epithelial cell presence urine,epithelial cell,urine,prthr,presence,0.04585871
bilirubin in plasma,26051-3,epithelial cell extrarenal area urine sediment microscopy high power field,epithelial cell extrarenal,urine sed,naric,area,0.06024268
bilirubin in plasma,105117-6,epithelial cell squamous area urine sediment,epithelial cell squamous,urine sed,naric,area,0.051505793
bilirubin in plasma,105120-0,epithelial cell squamous presence urine sediment,epithelial cell squamous,urine sed,prthr,presence,0.04200832
bilirubin in plasma,44899-3,malignant cell cell urine manual count,malignant cell cell,urine,nfr,,0.05691887
bilirubin in plasma,99870-8,erythrocyte ghost cell area urine sediment computer assisted method,erythrocyte ghost cell,urine sed,naric,area,0.067300975
bilirubin in plasma,99869-0,erythrocyte ghost cell presence urine sediment computer assisted method,erythrocyte ghost cell,urine sed,prthr,presence,0.059178185
bilirubin in plasma,53973-4,erythrocyte ghost cell presence urine sediment light microscopy,erythrocyte ghost cell,urine sed,prthr,presence,0.06577614
bilirubin in plasma,30383-4,epithelial cell volume urine,epithelial cell,urine,number concentration,volume,0.071184866
bilirubin in plasma,99871-6,erythrocyte ghost cell volume urine sediment computer assisted method,erythrocyte ghost cell,urine sed,number concentration,volume,0.08333438
bilirubin in plasma,105089-7,epithelial cell non squamous presence urine,epithelial cell non squamous,urine,prthr,presence,0.04391504
bilirubin in plasma,49754-5,deprecated epithelial cell squamous presence urine sediment light microscopy,epithelial cell squamous,urine sed,amount concentration,presence,0.05202243
bilirubin in plasma,33219-7,epithelial cell squamous area urine sediment automated count,epithelial cell squamous,urine sed,naric,area,0.05446692
bilirubin in plasma,11277-1,epithelial cell squamous area urine sediment microscopy high power field,epithelial cell squamous,urine sed,naric,area,0.06590343
bilirubin in plasma,45390-2,epithelial cell squamous area urine sediment microscopy low power field,epithelial cell squamous,urine sed,naric,area,0.05966257
bilirubin in plasma,13654-9,epithelial cell squamous volume urine sediment,epithelial cell squamous,urine sed,number concentration,volume,0.07127217
bilirubin in plasma,12258-0,epithelial cell squamous presence urine sediment light microscopy,epithelial cell squamous,urine sed,prthr,presence,0.056428827
bilirubin in plasma,33220-5,transitional cell area urine computer assisted method,transitional cell,urine,naric,area,0.056168642
bilirubin in plasma,53272-1,transitional cell presence urine computer assisted method,transitional cell,urine,prthr,presence,0.044827927
bilirubin in plasma,50225-2,epithelial cell non squamous presence urine automated,epithelial cell non squamous,urine,prthr,presence,0.04900446
bilirubin in plasma,33221-3,epithelial cell renal area urine computer assisted method,epithelial cell renal,urine,naric,area,0.063529745
bilirubin in plasma,53271-3,epithelial cell renal presence urine computer assisted method,epithelial cell renal,urine,prthr,presence,0.053066686
bilirubin in plasma,87926-2,epithelial cell volume urine automated,epithelial cell,urine,number concentration,volume,0.072151415
bilirubin in plasma,24123-2,epithelial cell volume urine manual count,epithelial cell,urine,number concentration,volume,0.073108576
bilirubin in plasma,53275-4,transitional cell volume urine computer assisted method,transitional cell,urine,number concentration,volume,0.07183674
bilirubin in plasma,51485-1,epithelial cell non squamous volume urine automated count,epithelial cell non squamous,urine,number concentration,volume,0.07345558
bilirubin in plasma,53274-7,epithelial cell renal volume urine computer assisted method,epithelial cell renal,urine,number concentration,volume,0.078654125
bilirubin in plasma,105087-1,epithelial cell squamous presence urine,epithelial cell squamous,urine,prthr,presence,0.042049006
bilirubin in plasma,99866-6,acanthocyte erythrocyte urine sediment computer assisted method,acanthocyte erythrocyte,urine sed,nfr,,0.0637509
bilirubin in plasma,99862-5,erythrocyte dysmorphic area urine sediment computer assisted method,erythrocyte dysmorphic,urine sed,naric,area,0.07272518
bilirubin in plasma,58444-1,erythrocyte dysmorphic presence urine sediment light microscopy,erythrocyte dysmorphic,urine sed,prthr,presence,0.06747662
bilirubin in plasma,53967-6,erythrocyte dysmorphic erythrocyte urine sediment light microscopy,erythrocyte dysmorphic erythrocyte,urine sed,nfr,,0.07471333
bilirubin in plasma,53270-5,urinalysis type non squamous epithelial cell panel urine computer assisted method,urinalysis type non squamous epithelial cell panel,urine,,,0.043526664
bilirubin in plasma,105107-7,erythrocyte area urine sediment,erythrocyte,urine sed,naric,area,0.07261121
bilirubin in plasma,105090-5,erythrocyte presence urine sediment,erythrocyte,urine sed,prthr,presence,0.0642953
bilirubin in plasma,99863-3,erythrocyte dysmorphic presence urine sediment computer assisted method,erythrocyte dysmorphic,urine sed,prthr,presence,0.06400935
bilirubin in plasma,53966-8,erythrocyte dysmorphic g1 erythrocyte urine sediment light microscopy,erythrocyte dysmorphic g1 erythrocyte,urine sed,nfr,,0.0712395
bilirubin in plasma,53318-2,epithelial cell squamous presence urine automated,epithelial cell squamous,urine,prthr,presence,0.042632222
bilirubin in plasma,104650-7,epithelial cell squamous area urine computer assisted method,epithelial cell squamous,urine,naric,area,0.05061681
bilirubin in plasma,88970-9,red blood cells cast area urine sediment,erythrocyte cast,urine sed,naric,area,0.077329315
bilirubin in plasma,105108-5,erythrocyte volume urine sediment,erythrocyte,urine sed,number concentration,volume,0.08707198
bilirubin in plasma,99864-1,erythrocyte dysmorphic volume urine sediment computer assisted method,erythrocyte dysmorphic,urine sed,number concentration,volume,0.08940941
bilirubin in plasma,53276-2,urinalysis type non squamous epithelial cell panel area urine computer assisted method,urinalysis type non squamous epithelial cell panel,urine,naric,area,0.04983474
bilirubin in plasma,51486-9,epithelial cell squamous volume urine automated count,epithelial cell squamous,urine,number concentration,volume,0.06982863
bilirubin in plasma,33804-6,red blood cells cast presence urine sediment light microscopy,erythrocyte cast,urine sed,prthr,presence,0.07541127
bilirubin in plasma,63378-4,erythrocyte clump presence urine sediment light microscopy,erythrocyte clump,urine sed,prthr,presence,0.073959365
bilirubin in plasma,14290-1,deprecated erythrocyte unit volume urine sediment manual count,erythrocyte,urine sed,amount concentration,unit volume,0.087549314
bilirubin in plasma,46419-8,erythrocyte area urine sediment automated count,erythrocyte,urine sed,naric,area,0.06945185
bilirubin in plasma,13945-1,erythrocyte area urine sediment microscopy high power field,erythrocyte,urine sed,naric,area,0.08835466
bilirubin in plasma,32776-7,erythrocyte presence urine sediment light microscopy,erythrocyte,urine sed,prthr,presence,0.07010207
bilirubin in plasma,33051-4,erythrocyte presence urine,erythrocyte,urine,prthr,presence,0.0674434
bilirubin in plasma,53273-9,urinalysis type non squamous epithelial cell panel volume urine computer assisted method,urinalysis type non squamous epithelial cell panel,urine,number concentration,volume,0.06294825
bilirubin in plasma,99598-5,erythrocyte dysmorphic erythrocyte urine automated count,erythrocyte dysmorphic erythrocyte,urine,nfr,,0.065932445
bilirubin in plasma,51790-4,red blood cells cast area urine sediment microscopy high power field,erythrocyte cast,urine sed,naric,area,0.085612275
bilirubin in plasma,5807-3,red blood cells cast area urine sediment microscopy low power field,erythrocyte cast,urine sed,naric,area,0.08165131
bilirubin in plasma,49505-1,erythrocyte clump area urine sediment automated count,erythrocyte clump,urine sed,naric,area,0.07742615
bilirubin in plasma,58449-0,erythrocyte clump area urine sediment microscopy high power field,erythrocyte clump,urine sed,naric,area,0.08664776
bilirubin in plasma,53974-2,erythrocyte morphology interpretation urine sediment light microscopy narrative,erythrocyte morphology,urine sed,imp,interpretation,0.06787729
bilirubin in plasma,5808-1,erythrocyte volume urine sediment microscopy high power field,erythrocyte,urine sed,number concentration,volume,0.08910593
bilirubin in plasma,53968-4,erythrocyte non dysmorphic presence urine sediment light microscopy,erythrocyte non dysmorphic,urine sed,prthr,presence,0.06862869
bilirubin in plasma,68912-5,erythrocyte 24 hour urine sediment light microscopy,erythrocyte,urine sed,nrat,,0.074143164
bilirubin in plasma,68903-4,erythrocyte light microscopy urine sediment collected unspecified duration,erythrocyte,urine sed,nrat,,0.06892065
bilirubin in plasma,33666-9,erythrocyte dysmorphic volume urine light microscopy,erythrocyte dysmorphic,urine,number concentration,volume,0.08525699
bilirubin in plasma,107173-7,red blood cells cast volume urine sediment computer assisted method,erythrocyte cast,urine sed,number concentration,volume,0.08777483
bilirubin in plasma,99860-9,erythrocyte non dysmorphic area urine sediment computer assisted method,erythrocyte non dysmorphic,urine sed,naric,area,0.07214575
bilirubin in plasma,99859-1,erythrocyte non dysmorphic presence urine sediment computer assisted method,erythrocyte non dysmorphic,urine sed,prthr,presence,0.06350426
bilirubin in plasma,68902-6,erythrocyte volume light microscopy urine sediment collected unspecified duration,erythrocyte,urine sed,number concentration,volume,0.089756414
bilirubin in plasma,59830-0,erythrocyte 3 hour urine sediment light microscopy,erythrocyte,urine sed,nrat,,0.08671448
bilirubin in plasma,30391-7,erythrocyte volume urine,erythrocyte,urine,number concentration,volume,0.08711163
bilirubin in plasma,53292-9,erythrocyte presence urine automated,erythrocyte,urine,prthr,presence,0.06354376
bilirubin in plasma,105105-1,leukocyte presence urine sediment,leukocyte,urine sed,prthr,presence,0.05852749
bilirubin in plasma,99861-7,erythrocyte non dysmorphic volume urine sediment computer assisted method,erythrocyte non dysmorphic,urine sed,number concentration,volume,0.089321285
bilirubin in plasma,105104-4,leukocyte area urine sediment,leukocyte,urine sed,naric,area,0.06724559
bilirubin in plasma,104647-3,erythrocyte area urine computer assisted method,erythrocyte,urine,naric,area,0.08337983
bilirubin in plasma,53278-8,red blood cells cast presence urine computer assisted method,erythrocyte cast,urine,prthr,presence,0.06632061
bilirubin in plasma,53358-8,erythrocyte clump area urine computer assisted method,erythrocyte clump,urine,naric,area,0.07259139
bilirubin in plasma,50226-0,erythrocyte clump presence urine computer assisted method,erythrocyte clump,urine,prthr,presence,0.07452739
bilirubin in plasma,798-9,erythrocyte volume urine automated count,erythrocyte,urine,number concentration,volume,0.08408116
bilirubin in plasma,799-7,erythrocyte volume urine manual count,erythrocyte,urine,number concentration,volume,0.084537424
bilirubin in plasma,20409-9,erythrocyte volume urine test strip,erythrocyte,urine,number concentration,volume,0.10594329
bilirubin in plasma,17809-5,hematocrit volume fraction urine calculation,erythrocyte specimen volume,urine,vfr,volume fraction,0.084507585
bilirubin in plasma,99867-4,acanthocyte area urine sediment computer assisted method,acanthocyte,urine sed,naric,area,0.05952954
bilirubin in plasma,91135-4,acanthocyte presence urine sediment light microscopy,acanthocyte,urine sed,prthr,presence,0.04882281
bilirubin in plasma,105112-7,eosinophil leukocyte urine sediment,eosinophil leukocyte,urine sed,nfr,,0.056326672
bilirubin in plasma,105093-9,leukocyte clump area urine sediment,leukocyte clump,urine sed,naric,area,0.07384727
bilirubin in plasma,99865-8,acanthocyte presence urine sediment computer assisted method,acanthocyte,urine sed,prthr,presence,0.050855372
bilirubin in plasma,88976-6,wbc cast area urine sediment,leukocyte cast,urine sed,naric,area,0.07100874
bilirubin in plasma,33229-6,red blood cells cast area urine computer assisted method,erythrocyte cast,urine,naric,area,0.07781673
bilirubin in plasma,53360-4,erythrocyte clump volume urine computer assisted method,erythrocyte clump,urine,number concentration,volume,0.09380773
bilirubin in plasma,57747-8,erythrocyte volume urine automated test strip,erythrocyte,urine,number concentration,volume,0.09763719
bilirubin in plasma,33052-2,leukocyte presence urine,leukocyte,urine,prthr,presence,0.0643527
bilirubin in plasma,20455-2,leukocyte presence urine sediment light microscopy,leukocyte,urine sed,prthr,presence,0.06649321
bilirubin in plasma,27297-1,leukocyte esterase unit volume urine,leukocyte esterase,urine,amount concentration,unit volume,0.06680299
bilirubin in plasma,105103-6,leukocyte esterase presence urine,leukocyte esterase,urine,prthr,presence,0.054130208
bilirubin in plasma,53964-3,leukocyte presence urine visual,leukocyte,urine,prthr,presence,0.066947415
bilirubin in plasma,53285-3,red blood cells cast volume urine computer assisted method,erythrocyte cast,urine,number concentration,volume,0.09273909
bilirubin in plasma,99868-2,acanthocyte volume urine sediment computer assisted method,acanthocyte,urine sed,number concentration,volume,0.07775803
bilirubin in plasma,12210-1,eosinophil leukocyte urine sediment manual count,eosinophil leukocyte,urine sed,nfr,,0.06396557
bilirubin in plasma,33825-1,wbc cast presence urine sediment light microscopy,leukocyte cast,urine sed,prthr,presence,0.07120565
bilirubin in plasma,67848-2,leukocyte clump presence urine sediment light microscopy,leukocyte clump,urine sed,prthr,presence,0.06891588
bilirubin in plasma,46702-7,leukocyte area urine sediment automated count,leukocyte,urine sed,naric,area,0.07034388
bilirubin in plasma,5821-4,leukocyte area urine sediment microscopy high power field,leukocyte,urine sed,naric,area,0.07543351
bilirubin in plasma,45383-7,leukocyte area urine sediment microscopy low power field,leukocyte,urine sed,naric,area,0.074279435
bilirubin in plasma,49103-5,wbc cast area urine sediment microscopy high power field,leukocyte cast,urine sed,naric,area,0.080419116
bilirubin in plasma,5820-6,wbc cast area urine sediment microscopy low power field,leukocyte cast,urine sed,naric,area,0.07436694
bilirubin in plasma,50233-6,leukocyte clump area urine sediment automated count,leukocyte clump,urine sed,naric,area,0.077472426
bilirubin in plasma,46420-6,leukocyte clump area urine sediment microscopy high power field,leukocyte clump,urine sed,naric,area,0.08485169
bilirubin in plasma,18407-7,leukocyte 12 hour urine sediment light microscopy,leukocyte,urine sed,nrat,,0.06377832
bilirubin in plasma,63554-0,leukocyte 24 hour urine sediment microscopy,leukocyte,urine sed,nrat,,0.06383219
bilirubin in plasma,60433-0,leukocyte light microscopy urine sediment collected unspecified duration,leukocyte,urine sed,nrat,,0.064622484
bilirubin in plasma,30462-6,granulocyte leukocyte urine,granulocyte leukocyte,urine,nfr,,0.08016432
bilirubin in plasma,30442-8,monocyte leukocyte urine,monocyte leukocyte,urine,nfr,,0.07743948
bilirubin in plasma,30405-5,leukocyte volume urine,leukocyte,urine,number concentration,volume,0.08455303
bilirubin in plasma,53316-6,leukocyte presence urine automated,leukocyte,urine,prthr,presence,0.059053242
bilirubin in plasma,107174-5,wbc cast volume urine sediment computer assisted method,leukocyte cast,urine sed,number concentration,volume,0.081476286
bilirubin in plasma,63555-7,leukocyte volume microscopy high power field urine sediment collected unspecified duration,leukocyte,urine sed,number concentration,volume,0.08639386
bilirubin in plasma,59829-2,leukocyte 3 hour urine sediment light microscopy,leukocyte,urine sed,nrat,,0.08826011
bilirubin in plasma,32014-3,eosinophil leukocyte urine manual count,eosinophil leukocyte,urine,nfr,,0.058295622
bilirubin in plasma,105102-8,leukocyte clump volume urine,leukocyte clump,urine,number concentration,volume,0.08806961
bilirubin in plasma,53317-4,leukocyte clump presence urine automated,leukocyte clump,urine,prthr,presence,0.06545891
bilirubin in plasma,5799-2,leukocyte esterase presence urine test strip,leukocyte esterase,urine,prthr,presence,0.06367513
bilirubin in plasma,14378-4,granulocyte leukocyte urine manual count,granulocyte leukocyte,urine,nfr,,0.08092822
bilirubin in plasma,17287-4,monocyte leukocyte urine manual count,monocyte leukocyte,urine,nfr,,0.07898566
bilirubin in plasma,24122-4,leukocyte volume urine manual count,leukocyte,urine,number concentration,volume,0.08542303
bilirubin in plasma,20408-1,leukocyte volume urine test strip,leukocyte,urine,number concentration,volume,0.095052905
bilirubin in plasma,53279-6,wbc cast presence urine computer assisted method,leukocyte cast,urine,prthr,presence,0.062177096
bilirubin in plasma,60026-2,leukocyte esterase presence urine automated test strip,leukocyte esterase,urine,prthr,presence,0.063336
bilirubin in plasma,32782-5,leukocyte esterase nitrite presence urine test strip,leukocyte esterase nitrite,urine,prthr,presence,0.063286684
bilirubin in plasma,104646-5,leukocyte area urine computer assisted method,leukocyte,urine,naric,area,0.077324204
bilirubin in plasma,51487-7,leukocyte volume urine automated count,leukocyte,urine,number concentration,volume,0.0867102
bilirubin in plasma,33228-8,wbc cast area urine computer assisted method,leukocyte cast,urine,naric,area,0.073790774
bilirubin in plasma,33768-3,leukocyte clump volume urine automated count,leukocyte clump,urine,number concentration,volume,0.09225547
bilirubin in plasma,58805-3,leukocyte volume urine automated test strip,leukocyte,urine,number concentration,volume,0.089387864
bilirubin in plasma,53286-1,wbc cast volume urine computer assisted method,leukocyte cast,urine,number concentration,volume,0.087729104
bilirubin in plasma,104708-3,deprecated estimated average glucose mole volume blood,estimated average glucose,blood,substance concentration,mole volume,0.08115615
bilirubin in plasma,2339-0,glucose mass volume blood,glucose,blood,mass concentration,mass volume,0.09125715
bilirubin in plasma,15074-8,glucose mole volume blood,glucose,blood,substance concentration,mole volume,0.091578804
bilirubin in plasma,40858-3,glucose mass volume capillary blood baseline,glucose baseline,bldc,mass concentration,mass volume,0.06979865
bilirubin in plasma,41651-1,glucose mass volume arterial blood,glucose,blood group a,mass concentration,mass volume,0.0906568
bilirubin in plasma,41652-9,glucose mass volume venous blood,glucose,blood group v,mass concentration,mass volume,0.09089778
bilirubin in plasma,39481-7,glucose mole volume arterial blood,glucose,blood group a,substance concentration,mole volume,0.08411189
bilirubin in plasma,51596-5,glucose mole volume capillary blood,glucose,bldc,substance concentration,mole volume,0.079399385
bilirubin in plasma,39480-9,glucose mole volume venous blood,glucose,blood group v,substance concentration,mole volume,0.08348426
bilirubin in plasma,87421-4,deprecated glucose mass volume blood pre meal,glucose pre meal,blood,mass concentration,mass volume,0.07819157
bilirubin in plasma,49134-0,glucose mass volume blood 2 hour post dose glucose,glucose 2h post dose glucose,blood,mass concentration,mass volume,0.08243462
bilirubin in plasma,104598-8,glucose mass volume arterial blood glucometer,glucose,blood group a,mass concentration,mass volume,0.08730336
bilirubin in plasma,32016-8,glucose mass volume capillary blood,glucose,bldc,mass concentration,mass volume,0.08525844
bilirubin in plasma,104597-0,glucose mass volume venous blood glucometer,glucose,blood group v,mass concentration,mass volume,0.08838111
bilirubin in plasma,47995-6,glucose mole volume cord blood,glucose,coord blood,substance concentration,mole volume,0.083305925
bilirubin in plasma,101476-0,fasting glucose mole volume venous blood,glucose post cfst,blood group v,substance concentration,mole volume,0.07868251
bilirubin in plasma,52041-1,blood glucose monitor attachment,blood glucose monitor attachment,patient,find,,0.044375595
bilirubin in plasma,96594-7,glucose mass volume db,glucose,blood dot,mass concentration,mass volume,0.0793357
bilirubin in plasma,5914-7,glucose presence blood test strip,glucose,blood,prthr,presence,0.07478495
bilirubin in plasma,88365-2,glucose mass volume blood pre meal,glucose pre meal,blood,mass concentration,mass volume,0.08155468
bilirubin in plasma,41653-7,glucose mass volume capillary blood glucometer,glucose,bldc,mass concentration,mass volume,0.08586673
bilirubin in plasma,14743-9,glucose mole volume capillary blood glucometer,glucose,bldc,substance concentration,mole volume,0.08724976
bilirubin in plasma,27353-2,glucose mean value mass volume blood estimated glycated hemoglobin,estimated average glucose,blood,mass concentration,mass volume,0.107989326
bilirubin in plasma,53553-4,glucose mean value mole volume blood estimated glycated hemoglobin,estimated average glucose,blood,substance concentration,mole volume,0.10721623
bilirubin in plasma,59813-6,glucose mole volume capillary blood glucometer 7 specimen,glucose 7 specimen,bldc,substance concentration,mole volume,0.076076195
bilirubin in plasma,1556-0,fasting glucose mass volume capillary blood,glucose post cfst,bldc,mass concentration,mass volume,0.07019904
bilirubin in plasma,1557-8,fasting glucose mass volume venous blood,glucose post cfst,blood group v,mass concentration,mass volume,0.07884766
bilirubin in plasma,87422-2,glucose mass volume blood post meal,glucose post meal,blood,mass concentration,mass volume,0.08039812
bilirubin in plasma,104655-6,glucose mass volume mixed venous blood,glucose,bldmv,mass concentration,mass volume,0.07569632
bilirubin in plasma,100746-7,glucose mole volume mixed venous blood,glucose,bldmv,substance concentration,mole volume,0.07989081
bilirubin in plasma,2340-8,glucose mass volume blood automated test strip,glucose,blood,mass concentration,mass volume,0.09532724
bilirubin in plasma,72516-8,glucose mole volume blood automated test strip,glucose,blood,substance concentration,mole volume,0.08373118
bilirubin in plasma,76629-5,fasting glucose mole volume blood,glucose post cfst,blood,substance concentration,mole volume,0.08676642
bilirubin in plasma,41604-0,fasting glucose mass volume capillary blood glucometer,glucose post cfst,bldc,mass concentration,mass volume,0.07700227
bilirubin in plasma,14770-2,fasting glucose mole volume capillary blood glucometer,glucose post cfst,bldc,substance concentration,mole volume,0.07823322
bilirubin in plasma,97062-4,history high blood glucose,high blood glucose,patient,hx,,0.0537312
bilirubin in plasma,74774-1,glucose mass volume serum plasma blood,glucose,serum plasma blood,mass concentration,mass volume,0.1919762
bilirubin in plasma,77135-2,glucose mole volume serum plasma blood,glucose,serum plasma blood,substance concentration,mole volume,0.19330646
