Query,LOINC Code,Name,Component,System,Property,Measurement,Normalized_Score
glucose in blood,40518-3,plasma cell leukocyte peritoneal fluid manual count,plasma cell leukocyte,periton fluid,nfr,,0.06749808
glucose in blood,40522-5,plasma cell leukocyte pleural fluid manual count,plasma cell leukocyte,plr fluid,nfr,,0.06438803
glucose in blood,74236-1,unidentified cell leukocyte pericardial fluid manual count,unidentified cell leukocyte,pericard fluid,nfr,,0.054231938
glucose in blood,74458-1,large unstained cell leukocyte blood fetus automated count,large unstained cell leukocyte,blood fetus,nfr,,0.15246136
glucose in blood,95227-5,cell leukocyte stem cell product manual count,cell leukocyte,stem cell product,nfr,,0.056253396
glucose in blood,91551-2,cell leukocyte dialysis fluid manual count,cell leukocyte,dial fluid,nfr,,0.071531706
glucose in blood,75352-5,cell leukocyte pericardial fluid manual count,cell leukocyte,pericard fluid,nfr,,0.058557935
glucose in blood,75350-9,cell leukocyte peritoneal fluid manual count,cell leukocyte,periton fluid,nfr,,0.06442562
glucose in blood,75356-6,cell leukocyte pleural fluid manual count,cell leukocyte,plr fluid,nfr,,0.059466023
glucose in blood,103744-9,cell leukocyte bronchoalveolar lavage manual count,cell leukocyte,bal,nfr,,0.057797477
glucose in blood,14384-2,mononuclear cell leukocyte urine sediment manual count,mononuclear cell leukocyte,urine sed,nfr,,0.053823125
glucose in blood,51622-9,mesothelial cell leukocyte dialysis fluid manual count,mesothelial cell leukocyte,dial fluid,nfr,,0.059154715
glucose in blood,14828-8,mesothelial cell leukocyte pericardial fluid manual count,mesothelial cell leukocyte,pericard fluid,nfr,,0.058501404
glucose in blood,14830-4,mesothelial cell leukocyte peritoneal fluid manual count,mesothelial cell leukocyte,periton fluid,nfr,,0.06336659
glucose in blood,14829-6,mesothelial cell leukocyte pleural fluid manual count,mesothelial cell leukocyte,plr fluid,nfr,,0.061989434
glucose in blood,68418-3,mesothelial cell leukocyte vitreous fluid manual count,mesothelial cell leukocyte,vitr fluid,nfr,,0.061344855
glucose in blood,71599-5,mesothelial cell leukocyte pure number fraction pericardial fluid manual count,mesothelial cell leukocyte,pericard fluid,nfr df,pure number fraction,0.060406774
glucose in blood,13526-9,nonhematic cell leukocyte body fluid manual count,nonhematic cell leukocyte,body fluid,nfr,,0.06862229
glucose in blood,13525-1,nonhematic cell leukocyte cerebral spinal fluid manual count,nonhematic cell leukocyte,cerebrospinal fluid,nfr,,0.05409684
glucose in blood,9305-4,mononuclear cell leukocyte body fluid manual count,mononuclear cell leukocyte,body fluid,nfr,,0.065746464
glucose in blood,12236-6,mononuclear cell leukocyte cerebral spinal fluid manual count,mononuclear cell leukocyte,cerebrospinal fluid,nfr,,0.054449543
glucose in blood,70037-7,mononuclear cell leukocyte pericardial fluid automated count,mononuclear cell leukocyte,pericard fluid,nfr,,0.05298262
glucose in blood,70038-5,mononuclear cell leukocyte peritoneal fluid automated count,mononuclear cell leukocyte,periton fluid,nfr,,0.05560368
glucose in blood,70066-6,mononuclear cell leukocyte pleural fluid automated count,mononuclear cell leukocyte,plr fluid,nfr,,0.053927105
glucose in blood,66148-8,mononuclear cell leukocyte pleural fluid fetus manual count,mononuclear cell leukocyte,plr fluid fetus,nfr,,0.054938823
glucose in blood,14382-6,mononuclear cell leukocyte synovial fluid manual count,mononuclear cell leukocyte,synv fluid,nfr,,0.04678758
glucose in blood,71629-0,mononuclear cell leukocyte pure number fraction peritoneal fluid manual count,mononuclear cell leukocyte,periton fluid,nfr df,pure number fraction,0.063338436
glucose in blood,71610-0,mononuclear cell leukocyte pure number fraction pleural fluid manual count,mononuclear cell leukocyte,plr fluid,nfr df,pure number fraction,0.059675884
glucose in blood,40670-2,smudge cell leukocyte body fluid manual count,smudge cell leukocyte,body fluid,nfr,,0.06130585
glucose in blood,51386-1,plasma cell leukocyte body fluid manual count,plasma cell leukocyte,body fluid,nfr,,0.07229477
glucose in blood,51385-3,plasma cell leukocyte cerebral spinal fluid manual count,plasma cell leukocyte,cerebrospinal fluid,nfr,,0.059458137
glucose in blood,13528-5,unidentified cell leukocyte body fluid manual count,unidentified cell leukocyte,body fluid,nfr,,0.06539707
glucose in blood,13527-7,unidentified cell leukocyte cerebral spinal fluid manual count,unidentified cell leukocyte,cerebrospinal fluid,nfr,,0.053128842
glucose in blood,34919-1,sezary cell leukocyte blood,sezary cell leukocyte,blood,nfr,,0.2514107
glucose in blood,34992-8,smudge cell leukocyte blood,smudge cell leukocyte,blood,nfr,,0.24334654
glucose in blood,12227-5,leukocyte volume corrected nucleated erythrocyte blood,leukocyte corrected nucleated erythrocyte,blood,number concentration,volume,0.2514188
glucose in blood,18309-5,nucleated erythrocyte leukocyte ratio blood manual count,erythrocyte nucleated leukocyte,blood,ratio,ratio,0.24930336
glucose in blood,75353-3,cell leukocyte body fluid manual count,cell leukocyte,body fluid,nfr,,0.070036344
glucose in blood,75374-9,cell leukocyte cerebral spinal fluid manual count,cell leukocyte,cerebrospinal fluid,nfr,,0.057962634
glucose in blood,75355-8,cell leukocyte synovial fluid manual count,cell leukocyte,synv fluid,nfr,,0.050527923
glucose in blood,51648-4,monocytoid cell leukocyte cerebral spinal fluid manual count,monocytoid cell leukocyte,cerebrospinal fluid,nfr,,0.04545702
glucose in blood,55437-8,neoplastic cell leukocyte cerebral spinal fluid manual count,neoplastic cell leukocyte,cerebrospinal fluid,nfr,,0.046118993
glucose in blood,13355-3,unspecified cell leukocyte body fluid manual count,unspecified cell leukocyte,body fluid,nfr,,0.06777222
glucose in blood,71637-3,unspecified cell leukocyte pure number fraction body fluid manual count,unspecified cell leukocyte,body fluid,nfr df,pure number fraction,0.069429
glucose in blood,30423-8,lymphoma cell leukocyte blood,lymphoma cell leukocyte,blood,nfr,,0.23954532
glucose in blood,34915-9,malignant cell leukocyte blood,malignant cell leukocyte,blood,nfr,,0.24873474
glucose in blood,35058-7,hairy cell leukocyte blood,hairy cell leukocyte,blood,nfr,,0.24387187
glucose in blood,55433-7,immature cell leukocyte blood,immature cell leukocyte,blood,nfr,,0.24269725
glucose in blood,13047-6,plasma cell leukocyte blood,plasma cell leukocyte,blood,nfr,,0.25727317
glucose in blood,44097-4,unidentified cell leukocyte blood,unidentified cell leukocyte,blood,nfr,,0.24988247
glucose in blood,33256-9,leukocyte volume corrected nucleated erythrocyte blood automated count,leukocyte corrected nucleated erythrocyte,blood,number concentration,volume,0.24452603
glucose in blood,26463-0,large unstained cell leukocyte blood,large unstained cell leukocyte,blood,nfr,,0.24899852
glucose in blood,12234-1,mesothelial cell leukocyte body fluid manual count,mesothelial cell leukocyte,body fluid,nfr,,0.06883582
glucose in blood,12233-3,mesothelial cell leukocyte cerebral spinal fluid manual count,mesothelial cell leukocyte,cerebrospinal fluid,nfr,,0.05670466
glucose in blood,57850-0,mesothelial cell leukocyte synovial fluid manual count,mesothelial cell leukocyte,synv fluid,nfr,,0.053724144
glucose in blood,71626-6,mesothelial cell leukocyte pure number fraction peritoneal fluid manual count,mesothelial cell leukocyte,periton fluid,nfr df,pure number fraction,0.06435177
glucose in blood,71607-6,mesothelial cell leukocyte pure number fraction pleural fluid manual count,mesothelial cell leukocyte,plr fluid,nfr df,pure number fraction,0.060575243
glucose in blood,71697-7,mononuclear cell leukocyte body fluid automated count,mononuclear cell leukocyte,body fluid,nfr,,0.062394094
glucose in blood,70042-7,mononuclear cell leukocyte synovial fluid automated count,mononuclear cell leukocyte,synv fluid,nfr,,0.04708002
glucose in blood,71619-1,mononuclear cell leukocyte pure number fraction synovial fluid manual count,mononuclear cell leukocyte,synv fluid,nfr df,pure number fraction,0.051098652
glucose in blood,40492-1,plasma cell leukocyte synovial fluid manual count,plasma cell leukocyte,synv fluid,nfr,,0.052299954
glucose in blood,71636-5,plasma cell leukocyte pure number fraction body fluid manual count,plasma cell leukocyte,body fluid,nfr df,pure number fraction,0.073728606
glucose in blood,71652-2,plasma cell leukocyte pure number fraction cerebral spinal fluid manual count,plasma cell leukocyte,cerebrospinal fluid,nfr df,pure number fraction,0.0633119
glucose in blood,71638-1,unidentified cell leukocyte pure number fraction body fluid manual count,unidentified cell leukocyte,body fluid,nfr df,pure number fraction,0.06583066
glucose in blood,74456-5,plasma cell leukocyte cord blood,plasma cell leukocyte,coord blood,nfr,,0.16917372
glucose in blood,66768-3,leukocyte volume corrected nucleated erythrocyte cord blood,leukocyte corrected nucleated erythrocyte,coord blood,number concentration,volume,0.16403721
glucose in blood,58413-6,nucleated erythrocyte leukocyte ratio blood automated count,erythrocyte nucleated leukocyte,blood,ratio,ratio,0.24588609
glucose in blood,71663-9,plasma cell leukocyte pure number fraction blood,plasma cell leukocyte,blood,nfr df,pure number fraction,0.25586462
glucose in blood,77355-6,non hematopoietic stem cell leukocyte body fluid manual count,non hematopoietic stem cell leukocyte,body fluid,nfr,,0.06348022
glucose in blood,77356-4,non hematopoietic stem cell leukocyte cerebral spinal fluid manual count,non hematopoietic stem cell leukocyte,cerebrospinal fluid,nfr,,0.050828457
glucose in blood,66133-0,mononuclear cell atypical leukocyte body fluid manual count,mononuclear cell atypical leukocyte,body fluid,nfr,,0.06640709
glucose in blood,70126-8,leukocyte volume corrected nucleated erythrocyte pleural fluid,leukocyte corrected nucleated erythrocyte,plr fluid,number concentration,volume,0.062294688
glucose in blood,32807-0,mononuclear cell leukocyte bronchial specimen,mononuclear cell leukocyte,bronchial,nfr,,0.04553552
glucose in blood,75658-5,plasma cell leukocyte bronchial specimen,plasma cell leukocyte,bronchial,nfr,,0.05674141
glucose in blood,26464-8,leukocyte volume blood,leukocyte,blood,number concentration,volume,0.26198336
glucose in blood,52999-0,leukocyte disintegrated volume blood,leukocyte disintegrated,blood,number concentration,volume,0.25849286
glucose in blood,95217-6,nucleated erythrocyte leukocyte stem cell product manual count,erythrocyte nucleated leukocyte,stem cell product,nfr,,0.0549441
glucose in blood,40631-4,nucleated erythrocyte leukocyte ratio cerebral spinal fluid manual count,erythrocyte nucleated leukocyte,cerebrospinal fluid,ratio,ratio,0.07225879
glucose in blood,55376-8,megaloblast leukocyte blood manual count,megaloblast leukocyte,blood,nfr,,0.24727029
glucose in blood,32155-4,basophil eosinophil monocyte leukocyte blood automated count,basophil eosinophil monocyte leukocyte,blood,nfr,,0.23329705
glucose in blood,71640-7,mesothelial cell leukocyte pure number fraction body fluid manual count,mesothelial cell leukocyte,body fluid,nfr df,pure number fraction,0.06949821
glucose in blood,66132-2,mononuclear mesothelial cell leukocyte body fluid manual count,mononuclear mesothelial cell leukocyte,body fluid,nfr,,0.06396978
glucose in blood,6690-2,leukocyte volume blood automated count,leukocyte,blood,number concentration,volume,0.2697795
glucose in blood,804-5,leukocyte volume blood manual count,leukocyte,blood,number concentration,volume,0.26255655
glucose in blood,729-4,leukocyte volume blood manual count,leukocyte,blood,number concentration,volume,0.2613981
glucose in blood,92635-2,leukocyte volume buffy coat,leukocyte,blood buffy coat,number concentration,volume,0.16364093
