Query,LOINC Code,Name,Component,System,Property,Measurement,Status,Units,Normalized_Score
cells in urine,1975-2,bilirubin total mass volume serum plasma,bilirubin,serum plasma,mass concentration,mass volume,active,mg dl,0.06255252
cells in urine,14631-6,bilirubin total mole volume serum plasma,bilirubin,serum plasma,substance concentration,mole volume,active,umol l,0.08455293
cells in urine,35194-0,bilirubin total mass mole volume serum plasma,bilirubin,serum plasma,mass substance concentration,mass mole volume,discouraged,,0.05723084
cells in urine,77137-8,bilirubin total mole volume serum plasma blood,bilirubin,serum plasma blood,substance concentration,mole volume,active,umol l,0.07588321
cells in urine,1970-3,bilirubin delta mass volume serum plasma,bilirubin albumin bound,serum plasma,mass concentration,mass volume,active,mg dl,0.05393499
cells in urine,22665-4,bilirubin delta mole volume serum plasma,bilirubin albumin bound,serum plasma,substance concentration,mole volume,active,umol l,0.06680817
cells in urine,1969-5,bilirubin total renal clearance 24 hour urine serum plasma,bilirubin renal clearance,urine serum plasma,vrat,,active,ml min,0.49136153
cells in urine,58434-2,cell panel urine sediment,cell panel,urine sed,,,discouraged,,0.61402005
cells in urine,105113-5,epithelial cell area urine sediment,epithelial cell,urine sed,naric,area,active,lpf,0.6297832
cells in urine,105114-3,epithelial cell presence urine sediment,epithelial cell,urine sed,prthr,presence,active,,0.5981006
cells in urine,105095-4,transitional cell area urine sediment,transitional cell,urine sed,naric,area,active,hpf,0.65189147
cells in urine,58438-3,cell type urine sediment light microscopy,cell,urine sed,type,type,active,,0.6900866
cells in urine,105116-8,epithelial cell renal area urine sediment,epithelial cell renal,urine sed,naric,area,active,hpf,0.66362363
cells in urine,105115-0,epithelial cell non squamous area urine sediment,epithelial cell non squamous,urine sed,naric,area,active,hpf,0.6399288
cells in urine,105088-9,epithelial cell non squamous presence urine sediment,epithelial cell non squamous,urine sed,prthr,presence,active,,0.5727466
cells in urine,90044-9,epithelial cell renal presence urine sediment,epithelial cell renal,urine sed,prthr,presence,active,,0.6192085
cells in urine,14384-2,mononuclear cell leukocyte urine sediment manual count,mononuclear cell leukocyte,urine sed,nfr,,active,,0.56663066
cells in urine,20453-7,epithelial cell presence urine sediment light microscopy,epithelial cell,urine sed,prthr,presence,active,,0.68646276
cells in urine,8249-5,transitional cell presence urine sediment light microscopy,transitional cell,urine sed,prthr,presence,active,,0.66337436
cells in urine,13653-1,epithelial cell renal volume urine sediment,epithelial cell renal,urine sed,number concentration,volume,active,ml,0.69788736
cells in urine,12248-1,epithelial cell renal presence urine sediment light microscopy,epithelial cell renal,urine sed,prthr,presence,active,,0.6944631
cells in urine,99876-5,deep transitional cell area urine sediment computer assisted method,transitional cell deep,urine sed,naric,area,active,p hpf,0.62535536
cells in urine,99873-2,superficial transitional cell area urine sediment computer assisted method,transitional cell superficial,urine sed,naric,area,active,p hpf,0.62717247
cells in urine,33342-7,epithelial cell area urine sediment automated count,epithelial cell,urine sed,naric,area,active,hpf,0.64670014
cells in urine,5787-7,epithelial cell area urine sediment microscopy high power field,epithelial cell,urine sed,naric,area,active,hpf,0.7112536
cells in urine,46133-5,epithelial cell area urine sediment microscopy low power field,epithelial cell,urine sed,naric,area,active,lpf,0.66988766
cells in urine,53972-6,burr cell presence urine sediment light microscopy,burr cell,urine sed,prthr,presence,active,,0.6457244
cells in urine,30089-7,transitional cell area urine sediment microscopy high power field,transitional cell,urine sed,naric,area,active,hpf,0.705534
cells in urine,46136-8,transitional cell area urine sediment microscopy low power field,transitional cell,urine sed,naric,area,active,lpf,0.6643535
cells in urine,58456-5,bladder cell presence urine sediment light microscopy,bladder cell,urine sed,prthr,presence,active,,0.72471064
cells in urine,107170-3,tubular cell volume urine sediment,tubular cell,urine sed,number concentration,volume,active,µl,0.6982172
cells in urine,11276-3,tubular cell presence urine sediment light microscopy,tubular cell,urine sed,prthr,presence,active,,0.68842024
cells in urine,53294-5,epithelial cell non squamous area urine sediment automated count,epithelial cell non squamous,urine sed,naric,area,active,,0.61971474
cells in urine,41284-1,epithelial cell non squamous area urine sediment microscopy high power field,epithelial cell non squamous,urine sed,naric,area,active,hpf,0.691297
cells in urine,53132-7,epithelial cell non squamous area urine sediment microscopy low power field,epithelial cell non squamous,urine sed,naric,area,active,lpf,0.6603487
cells in urine,53978-3,epithelial cell non squamous presence urine sediment light microscopy,epithelial cell non squamous,urine sed,prthr,presence,active,,0.66129
cells in urine,26052-1,epithelial cell renal area urine sediment microscopy high power field,epithelial cell renal,urine sed,naric,area,active,hpf,0.7213729
cells in urine,45391-0,epithelial cell renal area urine sediment microscopy low power field,epithelial cell renal,urine sed,naric,area,active,lpf,0.69007915
cells in urine,99875-7,deep transitional cell presence urine sediment computer assisted method,transitional cell deep,urine sed,prthr,presence,active,,0.56867373
cells in urine,99872-4,superficial transitional cell presence urine sediment computer assisted method,transitional cell superficial,urine sed,prthr,presence,active,,0.575817
cells in urine,11278-9,bladder cell area urine sediment microscopy high power field,bladder cell,urine sed,naric,area,active,hpf,0.7622991
cells in urine,99877-3,deep transitional cell volume urine sediment computer assisted method,transitional cell deep,urine sed,number concentration,volume,active,p ul,0.6168099
cells in urine,99874-0,superficial transitional cell volume urine sediment computer assisted method,transitional cell superficial,urine sed,number concentration,volume,active,p ul,0.6212513
cells in urine,87830-6,epithelial cell presence urine,epithelial cell,urine,prthr,presence,active,,0.9575686
cells in urine,26051-3,epithelial cell extrarenal area urine sediment microscopy high power field,epithelial cell extrarenal,urine sed,naric,area,active,hpf,0.6700336
cells in urine,105117-6,epithelial cell squamous area urine sediment,epithelial cell squamous,urine sed,naric,area,active,hpf,0.6302312
cells in urine,105120-0,epithelial cell squamous presence urine sediment,epithelial cell squamous,urine sed,prthr,presence,active,,0.56660604
cells in urine,44899-3,malignant cell cell urine manual count,malignant cell cell,urine,nfr,,active,,0.966446
cells in urine,99870-8,erythrocyte ghost cell area urine sediment computer assisted method,erythrocyte ghost cell,urine sed,naric,area,active,p hpf,0.62661004
cells in urine,99869-0,erythrocyte ghost cell presence urine sediment computer assisted method,erythrocyte ghost cell,urine sed,prthr,presence,active,,0.5765479
cells in urine,53973-4,erythrocyte ghost cell presence urine sediment light microscopy,erythrocyte ghost cell,urine sed,prthr,presence,active,,0.670587
cells in urine,30383-4,epithelial cell volume urine,epithelial cell,urine,number concentration,volume,active,ul,0.99590516
cells in urine,99871-6,erythrocyte ghost cell volume urine sediment computer assisted method,erythrocyte ghost cell,urine sed,number concentration,volume,active,p ul,0.62218857
cells in urine,105089-7,epithelial cell non squamous presence urine,epithelial cell non squamous,urine,prthr,presence,active,,0.92425346
cells in urine,49754-5,deprecated epithelial cell squamous presence urine sediment light microscopy,epithelial cell squamous,urine sed,amount concentration,presence,deprecated,,0.66730917
cells in urine,33219-7,epithelial cell squamous area urine sediment automated count,epithelial cell squamous,urine sed,naric,area,active,hpf,0.61926174
cells in urine,11277-1,epithelial cell squamous area urine sediment microscopy high power field,epithelial cell squamous,urine sed,naric,area,active,hpf,0.69144565
cells in urine,45390-2,epithelial cell squamous area urine sediment microscopy low power field,epithelial cell squamous,urine sed,naric,area,active,lpf,0.65354323
cells in urine,13654-9,epithelial cell squamous volume urine sediment,epithelial cell squamous,urine sed,number concentration,volume,active,ml,0.6664813
cells in urine,12258-0,epithelial cell squamous presence urine sediment light microscopy,epithelial cell squamous,urine sed,prthr,presence,active,,0.6464543
cells in urine,33220-5,transitional cell area urine computer assisted method,transitional cell,urine,naric,area,active,hpf,0.96484375
cells in urine,53272-1,transitional cell presence urine computer assisted method,transitional cell,urine,prthr,presence,active,,0.9223842
cells in urine,50225-2,epithelial cell non squamous presence urine automated,epithelial cell non squamous,urine,prthr,presence,active,,0.9475769
cells in urine,33221-3,epithelial cell renal area urine computer assisted method,epithelial cell renal,urine,naric,area,active,hpf,0.98444796
cells in urine,53271-3,epithelial cell renal presence urine computer assisted method,epithelial cell renal,urine,prthr,presence,active,,0.9367756
cells in urine,87926-2,epithelial cell volume urine automated,epithelial cell,urine,number concentration,volume,active,ul,0.99241775
cells in urine,24123-2,epithelial cell volume urine manual count,epithelial cell,urine,number concentration,volume,active,ul,0.9862269
cells in urine,53275-4,transitional cell volume urine computer assisted method,transitional cell,urine,number concentration,volume,active,ul,0.9671231
cells in urine,51485-1,epithelial cell non squamous volume urine automated count,epithelial cell non squamous,urine,number concentration,volume,active,ul,0.9585289
cells in urine,53274-7,epithelial cell renal volume urine computer assisted method,epithelial cell renal,urine,number concentration,volume,active,ul,0.9768983
cells in urine,105087-1,epithelial cell squamous presence urine,epithelial cell squamous,urine,prthr,presence,active,,0.9123714
cells in urine,99866-6,acanthocyte erythrocyte urine sediment computer assisted method,acanthocyte erythrocyte,urine sed,nfr,,active,,0.5376716
cells in urine,99862-5,erythrocyte dysmorphic area urine sediment computer assisted method,erythrocyte dysmorphic,urine sed,naric,area,active,p hpf,0.5682745
cells in urine,58444-1,erythrocyte dysmorphic presence urine sediment light microscopy,erythrocyte dysmorphic,urine sed,prthr,presence,active,,0.61765736
cells in urine,53967-6,erythrocyte dysmorphic erythrocyte urine sediment light microscopy,erythrocyte dysmorphic erythrocyte,urine sed,nfr,,active,,0.6154583
cells in urine,53270-5,urinalysis type non squamous epithelial cell panel urine computer assisted method,urinalysis type non squamous epithelial cell panel,urine,,,active,,0.9441168
cells in urine,105107-7,erythrocyte area urine sediment,erythrocyte,urine sed,naric,area,active,hpf,0.61536056
cells in urine,105090-5,erythrocyte presence urine sediment,erythrocyte,urine sed,prthr,presence,active,,0.55657095
cells in urine,99863-3,erythrocyte dysmorphic presence urine sediment computer assisted method,erythrocyte dysmorphic,urine sed,prthr,presence,active,,0.51093847
cells in urine,53966-8,erythrocyte dysmorphic g1 erythrocyte urine sediment light microscopy,erythrocyte dysmorphic g1 erythrocyte,urine sed,nfr,,active,,0.5957166
cells in urine,53318-2,epithelial cell squamous presence urine automated,epithelial cell squamous,urine,prthr,presence,active,,0.9262534
cells in urine,104650-7,epithelial cell squamous area urine computer assisted method,epithelial cell squamous,urine,naric,area,active,hpf,0.9461482
cells in urine,88970-9,rbc cast area urine sediment,erythrocyte cast,urine sed,naric,area,active,lpf,0.5432847
cells in urine,105108-5,erythrocyte volume urine sediment,erythrocyte,urine sed,number concentration,volume,active,10 6 ul,0.6000493
cells in urine,99864-1,erythrocyte dysmorphic volume urine sediment computer assisted method,erythrocyte dysmorphic,urine sed,number concentration,volume,active,p ul,0.55788517
cells in urine,53276-2,urinalysis type non squamous epithelial cell panel area urine computer assisted method,urinalysis type non squamous epithelial cell panel,urine,naric,area,active,,0.9718108
cells in urine,51486-9,epithelial cell squamous volume urine automated count,epithelial cell squamous,urine,number concentration,volume,active,ul,0.94888324
cells in urine,33804-6,rbc cast presence urine sediment light microscopy,erythrocyte cast,urine sed,prthr,presence,active,,0.60067165
cells in urine,63378-4,erythrocyte clump presence urine sediment light microscopy,erythrocyte clump,urine sed,prthr,presence,active,,0.6577303
cells in urine,14290-1,deprecated erythrocyte unit volume urine sediment manual count,erythrocyte,urine sed,amount concentration,unit volume,deprecated,,0.62668025
cells in urine,46419-8,erythrocyte area urine sediment automated count,erythrocyte,urine sed,naric,area,active,,0.6001341
cells in urine,13945-1,erythrocyte area urine sediment microscopy high power field,erythrocyte,urine sed,naric,area,active,hpf,0.6842748
cells in urine,32776-7,erythrocyte presence urine sediment light microscopy,erythrocyte,urine sed,prthr,presence,active,,0.64459455
cells in urine,33051-4,erythrocyte presence urine,erythrocyte,urine,prthr,presence,active,,0.9107877
cells in urine,53273-9,urinalysis type non squamous epithelial cell panel volume urine computer assisted method,urinalysis type non squamous epithelial cell panel,urine,number concentration,volume,active,,0.9940412
cells in urine,99598-5,erythrocyte dysmorphic erythrocyte urine automated count,erythrocyte dysmorphic erythrocyte,urine,nfr,,active,,0.8510775
cells in urine,51790-4,rbc cast area urine sediment microscopy high power field,erythrocyte cast,urine sed,naric,area,active,hpf,0.6407983
cells in urine,5807-3,rbc cast area urine sediment microscopy low power field,erythrocyte cast,urine sed,naric,area,active,lpf,0.6016709
cells in urine,49505-1,erythrocyte clump area urine sediment automated count,erythrocyte clump,urine sed,naric,area,active,hpf,0.62810844
cells in urine,58449-0,erythrocyte clump area urine sediment microscopy high power field,erythrocyte clump,urine sed,naric,area,active,hpf,0.6953683
cells in urine,53974-2,erythrocyte morphology interpretation urine sediment light microscopy narrative,erythrocyte morphology,urine sed,imp,interpretation,active,,0.6906482
cells in urine,5808-1,erythrocyte volume urine sediment microscopy high power field,erythrocyte,urine sed,number concentration,volume,active,ml,0.68548125
cells in urine,53968-4,erythrocyte non dysmorphic presence urine sediment light microscopy,erythrocyte non dysmorphic,urine sed,prthr,presence,active,,0.62034684
cells in urine,68912-5,erythrocyte 24 hour urine sediment light microscopy,erythrocyte,urine sed,nrat,,active,10 6,0.6588665
cells in urine,68903-4,erythrocyte light microscopy urine sediment collected unspecified duration,erythrocyte,urine sed,nrat,,active,,0.63748944
cells in urine,33666-9,erythrocyte dysmorphic volume urine light microscopy,erythrocyte dysmorphic,urine,number concentration,volume,active,10 6 l,1.0
cells in urine,107173-7,rbc cast volume urine sediment computer assisted method,erythrocyte cast,urine sed,number concentration,volume,active,µl,0.58500594
cells in urine,99860-9,erythrocyte non dysmorphic area urine sediment computer assisted method,erythrocyte non dysmorphic,urine sed,naric,area,active,p hpf,0.574943
cells in urine,99859-1,erythrocyte non dysmorphic presence urine sediment computer assisted method,erythrocyte non dysmorphic,urine sed,prthr,presence,active,,0.5225795
cells in urine,68902-6,erythrocyte volume light microscopy urine sediment collected unspecified duration,erythrocyte,urine sed,number concentration,volume,active,mm3,0.67990977
cells in urine,59830-0,erythrocyte 3 hour urine sediment light microscopy,erythrocyte,urine sed,nrat,,active,rbc min,0.64899933
cells in urine,30391-7,erythrocyte volume urine,erythrocyte,urine,number concentration,volume,active,ul,0.9490093
cells in urine,53292-9,erythrocyte presence urine automated,erythrocyte,urine,prthr,presence,active,,0.9223143
cells in urine,105105-1,leukocyte presence urine sediment,leukocyte,urine sed,prthr,presence,active,,0.55430377
cells in urine,99861-7,erythrocyte non dysmorphic volume urine sediment computer assisted method,erythrocyte non dysmorphic,urine sed,number concentration,volume,active,p ul,0.56787103
cells in urine,105104-4,leukocyte area urine sediment,leukocyte,urine sed,naric,area,active,hpf,0.6147131
cells in urine,104647-3,erythrocyte area urine computer assisted method,erythrocyte,urine,naric,area,active,hpf,0.9618751
cells in urine,53278-8,rbc cast presence urine computer assisted method,erythrocyte cast,urine,prthr,presence,active,,0.8384072
cells in urine,53358-8,erythrocyte clump area urine computer assisted method,erythrocyte clump,urine,naric,area,active,,0.93597984
cells in urine,50226-0,erythrocyte clump presence urine computer assisted method,erythrocyte clump,urine,prthr,presence,active,,0.90255827
cells in urine,798-9,erythrocyte volume urine automated count,erythrocyte,urine,number concentration,volume,active,ul,0.9349716
cells in urine,799-7,erythrocyte volume urine manual count,erythrocyte,urine,number concentration,volume,active,ul,0.93870425
cells in urine,20409-9,erythrocyte volume urine test strip,erythrocyte,urine,number concentration,volume,active,ery ul rbc ul,0.9668926
cells in urine,17809-5,hematocrit volume fraction urine calculation,erythrocyte specimen volume,urine,vfr,volume fraction,active,,0.9648302
cells in urine,99867-4,acanthocyte area urine sediment computer assisted method,acanthocyte,urine sed,naric,area,active,p hpf,0.55200297
cells in urine,91135-4,acanthocyte presence urine sediment light microscopy,acanthocyte,urine sed,prthr,presence,active,,0.5974078
cells in urine,105112-7,eosinophil leukocyte urine sediment,eosinophil leukocyte,urine sed,nfr,,active,,0.527818
cells in urine,105093-9,leukocyte clump area urine sediment,leukocyte clump,urine sed,naric,area,active,hpf,0.6197884
cells in urine,99865-8,acanthocyte presence urine sediment computer assisted method,acanthocyte,urine sed,prthr,presence,active,,0.4942526
cells in urine,88976-6,wbc cast area urine sediment,leukocyte cast,urine sed,naric,area,active,lpf,0.5559073
cells in urine,33229-6,rbc cast area urine computer assisted method,erythrocyte cast,urine,naric,area,active,hpf,0.89438874
cells in urine,53360-4,erythrocyte clump volume urine computer assisted method,erythrocyte clump,urine,number concentration,volume,active,ul,0.93901926
cells in urine,57747-8,erythrocyte volume urine automated test strip,erythrocyte,urine,number concentration,volume,active,ul,0.95174515
cells in urine,33052-2,leukocyte presence urine,leukocyte,urine,prthr,presence,active,,0.9099617
cells in urine,20455-2,leukocyte presence urine sediment light microscopy,leukocyte,urine sed,prthr,presence,active,,0.6538134
cells in urine,27297-1,leukocyte esterase unit volume urine,leukocyte esterase,urine,amount concentration,unit volume,active,,0.93457973
cells in urine,105103-6,leukocyte esterase presence urine,leukocyte esterase,urine,prthr,presence,active,,0.86540663
cells in urine,53964-3,leukocyte presence urine visual,leukocyte,urine,prthr,presence,active,,0.90545195
cells in urine,53285-3,rbc cast volume urine computer assisted method,erythrocyte cast,urine,number concentration,volume,active,ul,0.88800204
cells in urine,99868-2,acanthocyte volume urine sediment computer assisted method,acanthocyte,urine sed,number concentration,volume,active,p ul,0.5457021
cells in urine,12210-1,eosinophil leukocyte urine sediment manual count,eosinophil leukocyte,urine sed,nfr,,active,,0.5348161
cells in urine,33825-1,wbc cast presence urine sediment light microscopy,leukocyte cast,urine sed,prthr,presence,active,,0.6053321
cells in urine,67848-2,leukocyte clump presence urine sediment light microscopy,leukocyte clump,urine sed,prthr,presence,active,,0.64656234
cells in urine,46702-7,leukocyte area urine sediment automated count,leukocyte,urine sed,naric,area,active,hpf,0.6152085
cells in urine,5821-4,leukocyte area urine sediment microscopy high power field,leukocyte,urine sed,naric,area,active,hpf,0.6899041
cells in urine,45383-7,leukocyte area urine sediment microscopy low power field,leukocyte,urine sed,naric,area,active,lpf,0.64294994
cells in urine,49103-5,wbc cast area urine sediment microscopy high power field,leukocyte cast,urine sed,naric,area,active,hpf,0.6596507
cells in urine,5820-6,wbc cast area urine sediment microscopy low power field,leukocyte cast,urine sed,naric,area,active,lpf,0.6114922
cells in urine,50233-6,leukocyte clump area urine sediment automated count,leukocyte clump,urine sed,naric,area,active,hpf,0.6235979
cells in urine,46420-6,leukocyte clump area urine sediment microscopy high power field,leukocyte clump,urine sed,naric,area,active,hpf,0.69782037
cells in urine,18407-7,leukocyte 12 hour urine sediment light microscopy,leukocyte,urine sed,nrat,,active,,0.65442914
cells in urine,63554-0,leukocyte 24 hour urine sediment microscopy,leukocyte,urine sed,nrat,,active,10 6,0.65675086
cells in urine,60433-0,leukocyte light microscopy urine sediment collected unspecified duration,leukocyte,urine sed,nrat,,active,,0.6461541
cells in urine,30462-6,granulocyte leukocyte urine,granulocyte leukocyte,urine,nfr,,active,,0.9473922
cells in urine,30442-8,monocyte leukocyte urine,monocyte leukocyte,urine,nfr,,active,,0.91688055
cells in urine,30405-5,leukocyte volume urine,leukocyte,urine,number concentration,volume,active,ul,0.9452904
cells in urine,53316-6,leukocyte presence urine automated,leukocyte,urine,prthr,presence,active,,0.915392
cells in urine,107174-5,wbc cast volume urine sediment computer assisted method,leukocyte cast,urine sed,number concentration,volume,active,µl,0.59148586
cells in urine,63555-7,leukocyte volume microscopy high power field urine sediment collected unspecified duration,leukocyte,urine sed,number concentration,volume,active,mm3,0.6719458
cells in urine,59829-2,leukocyte 3 hour urine sediment light microscopy,leukocyte,urine sed,nrat,,active,wbc min,0.69602233
cells in urine,32014-3,eosinophil leukocyte urine manual count,eosinophil leukocyte,urine,nfr,,active,,0.86699456
cells in urine,105102-8,leukocyte clump volume urine,leukocyte clump,urine,number concentration,volume,active,ul,0.9396092
cells in urine,53317-4,leukocyte clump presence urine automated,leukocyte clump,urine,prthr,presence,active,,0.9159154
cells in urine,5799-2,leukocyte esterase presence urine test strip,leukocyte esterase,urine,prthr,presence,active,,0.88913405
cells in urine,14378-4,granulocyte leukocyte urine manual count,granulocyte leukocyte,urine,nfr,,active,,0.92670745
cells in urine,17287-4,monocyte leukocyte urine manual count,monocyte leukocyte,urine,nfr,,active,,0.9155022
cells in urine,24122-4,leukocyte volume urine manual count,leukocyte,urine,number concentration,volume,active,ul,0.9447041
cells in urine,20408-1,leukocyte volume urine test strip,leukocyte,urine,number concentration,volume,active,leu ul wbc ul,0.9717655
cells in urine,53279-6,wbc cast presence urine computer assisted method,leukocyte cast,urine,prthr,presence,active,,0.8494273
cells in urine,60026-2,leukocyte esterase presence urine automated test strip,leukocyte esterase,urine,prthr,presence,active,,0.8827511
cells in urine,32782-5,leukocyte esterase nitrite presence urine test strip,leukocyte esterase nitrite,urine,prthr,presence,active,,0.8830966
cells in urine,104646-5,leukocyte area urine computer assisted method,leukocyte,urine,naric,area,active,hpf,0.9601041
cells in urine,51487-7,leukocyte volume urine automated count,leukocyte,urine,number concentration,volume,active,ul,0.93736035
cells in urine,33228-8,wbc cast area urine computer assisted method,leukocyte cast,urine,naric,area,active,hpf,0.90147847
cells in urine,33768-3,leukocyte clump volume urine automated count,leukocyte clump,urine,number concentration,volume,active,ul,0.9355451
cells in urine,58805-3,leukocyte volume urine automated test strip,leukocyte,urine,number concentration,volume,active,ul,0.9446739
cells in urine,53286-1,wbc cast volume urine computer assisted method,leukocyte cast,urine,number concentration,volume,active,ul,0.9004283
cells in urine,104708-3,deprecated estimated average glucose mole volume blood,estimated average glucose,blood,substance concentration,mole volume,deprecated,mg dl,0.09325391
cells in urine,2339-0,glucose mass volume blood,glucose,blood,mass concentration,mass volume,active,mg dl,0.14349858
cells in urine,15074-8,glucose mole volume blood,glucose,blood,substance concentration,mole volume,active,mmol l,0.177255
cells in urine,40858-3,glucose mass volume capillary blood baseline,glucose baseline,bldc,mass concentration,mass volume,active,mg dl,0.02452667
cells in urine,41651-1,glucose mass volume arterial blood,glucose,blda,mass concentration,mass volume,active,mg dl,0.06651596
cells in urine,41652-9,glucose mass volume venous blood,glucose,bldv,mass concentration,mass volume,active,mg dl,0.06812005
cells in urine,39481-7,glucose mole volume arterial blood,glucose,blda,substance concentration,mole volume,active,mmol l,0.10954718
cells in urine,51596-5,glucose mole volume capillary blood,glucose,bldc,substance concentration,mole volume,active,mmol l,0.12265428
cells in urine,39480-9,glucose mole volume venous blood,glucose,bldv,substance concentration,mole volume,active,mmol l,0.11234869
cells in urine,87421-4,deprecated glucose mass volume blood pre meal,glucose pre meal,blood,mass concentration,mass volume,deprecated,mg dl,0.03826878
cells in urine,49134-0,glucose mass volume blood 2 hour post dose glucose,glucose 2h post dose glucose,blood,mass concentration,mass volume,active,mg dl,0.095974885
cells in urine,104598-8,glucose mass volume arterial blood glucometer,glucose,blda,mass concentration,mass volume,active,mg dl,0.093709834
cells in urine,32016-8,glucose mass volume capillary blood,glucose,bldc,mass concentration,mass volume,active,mg dl,0.08403078
cells in urine,104597-0,glucose mass volume venous blood glucometer,glucose,bldv,mass concentration,mass volume,active,mg dl,0.09635743
cells in urine,47995-6,glucose mole volume cord blood,glucose,bldco,substance concentration,mole volume,active,nmol l,0.12747976
cells in urine,101476-0,fasting glucose mole volume venous blood,glucose post cfst,bldv,substance concentration,mole volume,active,mmol l,0.065876715
cells in urine,52041-1,blood glucose monitor attachment,blood glucose monitor attachment,patient,find,,active,,0.034557007
cells in urine,96594-7,glucose mass volume db,glucose,blood dot,mass concentration,mass volume,active,mg dl,0.07071412
cells in urine,5914-7,glucose presence blood test strip,glucose,blood,prthr,presence,discouraged,,0.12043453
cells in urine,88365-2,glucose mass volume blood pre meal,glucose pre meal,blood,mass concentration,mass volume,active,mg dl,0.05789234
cells in urine,41653-7,glucose mass volume capillary blood glucometer,glucose,bldc,mass concentration,mass volume,active,mg dl,0.112995885
cells in urine,14743-9,glucose mole volume capillary blood glucometer,glucose,bldc,substance concentration,mole volume,active,mmol l,0.16374391
cells in urine,27353-2,glucose mean value mass volume blood estimated glycated hemoglobin,estimated average glucose,blood,mass concentration,mass volume,active,mg dl,0.10029491
cells in urine,53553-4,glucose mean value mole volume blood estimated glycated hemoglobin,estimated average glucose,blood,substance concentration,mole volume,active,mmol l,0.13921247
cells in urine,59813-6,glucose mole volume capillary blood glucometer 7 specimen,glucose 7 specimen,bldc,substance concentration,mole volume,active,mmol l,0.17196485
cells in urine,1556-0,fasting glucose mass volume capillary blood,glucose post cfst,bldc,mass concentration,mass volume,active,mg dl,0.035958163
cells in urine,1557-8,fasting glucose mass volume venous blood,glucose post cfst,bldv,mass concentration,mass volume,active,mg dl,0.023910206
cells in urine,87422-2,glucose mass volume blood post meal,glucose post meal,blood,mass concentration,mass volume,active,mg dl,0.06500778
cells in urine,104655-6,glucose mass volume mixed venous blood,glucose,bldmv,mass concentration,mass volume,active,g dl,0.09857744
cells in urine,100746-7,glucose mole volume mixed venous blood,glucose,bldmv,substance concentration,mole volume,active,mmol l,0.1117823
cells in urine,2340-8,glucose mass volume blood automated test strip,glucose,blood,mass concentration,mass volume,active,mg dl,0.14626195
cells in urine,72516-8,glucose mole volume blood automated test strip,glucose,blood,substance concentration,mole volume,active,umol l,0.18004699
cells in urine,76629-5,fasting glucose mole volume blood,glucose post cfst,blood,substance concentration,mole volume,active,mmol l,0.12239069
cells in urine,41604-0,fasting glucose mass volume capillary blood glucometer,glucose post cfst,bldc,mass concentration,mass volume,active,mg dl,0.072892286
