Query,LOINC Code,Name,Component,System,Property,Measurement,Status,Units,Normalized_Score
bilirubin in plasma,104597-0,glucose mass volume venous blood glucometer,glucose,bldv,mass concentration,mass volume,active,mg dl,0.08280428
bilirubin in plasma,47995-6,glucose mole volume cord blood,glucose,bldco,substance concentration,mole volume,active,nmol l,0.0791488
bilirubin in plasma,101476-0,fasting glucose mole volume venous blood,glucose post cfst,bldv,substance concentration,mole volume,active,mmol l,0.072472796
bilirubin in plasma,52041-1,blood glucose monitor attachment,blood glucose monitor attachment,patient,find,,active,,0.044375595
bilirubin in plasma,96594-7,glucose mass volume db,glucose,blood dot,mass concentration,mass volume,active,mg dl,0.0793357
bilirubin in plasma,5914-7,glucose presence blood test strip,glucose,blood,prthr,presence,discouraged,,0.07478495
bilirubin in plasma,88365-2,glucose mass volume blood pre meal,glucose pre meal,blood,mass concentration,mass volume,active,mg dl,0.08155468
bilirubin in plasma,41653-7,glucose mass volume capillary blood glucometer,glucose,bldc,mass concentration,mass volume,active,mg dl,0.08586673
bilirubin in plasma,14743-9,glucose mole volume capillary blood glucometer,glucose,bldc,substance concentration,mole volume,active,mmol l,0.08724976
bilirubin in plasma,27353-2,glucose mean value mass volume blood estimated glycated hemoglobin,estimated average glucose,blood,mass concentration,mass volume,active,mg dl,0.107989326
bilirubin in plasma,53553-4,glucose mean value mole volume blood estimated glycated hemoglobin,estimated average glucose,blood,substance concentration,mole volume,active,mmol l,0.10721623
bilirubin in plasma,59813-6,glucose mole volume capillary blood glucometer 7 specimen,glucose 7 specimen,bldc,substance concentration,mole volume,active,mmol l,0.076076195
bilirubin in plasma,1556-0,fasting glucose mass volume capillary blood,glucose post cfst,bldc,mass concentration,mass volume,active,mg dl,0.07019904
bilirubin in plasma,1557-8,fasting glucose mass volume venous blood,glucose post cfst,bldv,mass concentration,mass volume,active,mg dl,0.07247252
bilirubin in plasma,87422-2,glucose mass volume blood post meal,glucose post meal,blood,mass concentration,mass volume,active,mg dl,0.08039812
bilirubin in plasma,104655-6,glucose mass volume mixed venous blood,glucose,bldmv,mass concentration,mass volume,active,g dl,0.07569632
bilirubin in plasma,100746-7,glucose mole volume mixed venous blood,glucose,bldmv,substance concentration,mole volume,active,mmol l,0.07989081
bilirubin in plasma,2340-8,glucose mass volume blood automated test strip,glucose,blood,mass concentration,mass volume,active,mg dl,0.09532724
bilirubin in plasma,72516-8,glucose mole volume blood automated test strip,glucose,blood,substance concentration,mole volume,active,umol l,0.08373118
bilirubin in plasma,76629-5,fasting glucose mole volume blood,glucose post cfst,blood,substance concentration,mole volume,active,mmol l,0.08676642
bilirubin in plasma,41604-0,fasting glucose mass volume capillary blood glucometer,glucose post cfst,bldc,mass concentration,mass volume,active,mg dl,0.07700227
bilirubin in plasma,14770-2,fasting glucose mole volume capillary blood glucometer,glucose post cfst,bldc,substance concentration,mole volume,active,mmol l,0.07823322
bilirubin in plasma,97062-4,history high blood glucose,high blood glucose,patient,hx,,active,,0.0537312
bilirubin in plasma,74774-1,glucose mass volume serum plasma blood,glucose,serum plasma blood,mass concentration,mass volume,active,mg dl,0.1919762
bilirubin in plasma,77135-2,glucose mole volume serum plasma blood,glucose,serum plasma blood,substance concentration,mole volume,active,mmol l,0.19330646
bilirubin in plasma,2341-6,glucose mass volume blood test strip manual,glucose,blood,mass concentration,mass volume,active,mg dl,0.09144329
bilirubin in plasma,81637-1,glucose meter reference method correlation ratio serum plasma blood calculation,glucose meter reference method correlation,serum plasma blood,ratio,ratio,active,,0.17024088
bilirubin in plasma,14760-3,glucose mole volume capillary blood 2 hour post meal,glucose 2h post meal,bldc,substance concentration,mole volume,active,mmol l,0.075662956
bilirubin in plasma,6689-4,glucose mass volume blood 2 hour post meal,glucose 2h post meal,blood,mass concentration,mass volume,active,mg dl,0.07248551
bilirubin in plasma,77145-1,fasting glucose mole volume serum plasma blood,glucose post cfst,serum plasma blood,substance concentration,mole volume,active,mmol l,0.18895388
bilirubin in plasma,13453-6,deprecated glucose mean value,glucose mean value,blood,amount concentration,,deprecated,,0.09921804
bilirubin in plasma,77677-3,glucose mole volume serum plasma blood 2 hour post meal,glucose 2h post meal,serum plasma blood,substance concentration,mole volume,active,mmol l,0.17599301
bilirubin in plasma,104873-5,glucose dumping syndrome panel serum plasma blood,glucose dumping syndrome panel,serum plasma blood,,,active,,0.16369887
bilirubin in plasma,11047-8,glucose phosphate isomerase enzymatic activity volume red blood cell,glucose phosphate isomerase,rbc,cell concentration,enzymatic activity volume,active,u ml rbc,0.11716611
bilirubin in plasma,44050-3,glucose phosphate isomerase enzymatic activity mass red blood cell,glucose phosphate isomerase,rbc,ccnt,enzymatic activity mass,active,u g hb,0.08937861
bilirubin in plasma,104875-0,hematocrit volume fraction blood 30 minute post dose glucose,hematocrit 30m post dose glucose,blood,vfr,volume fraction,active,,0.09420142
bilirubin in plasma,104880-0,hematocrit volume fraction blood 3 hour post dose glucose,hematocrit 3h post dose glucose,blood,vfr,volume fraction,active,,0.09343489
bilirubin in plasma,79469-3,uridine diphosphate glucose 4 epimerase enzymatic activity mass red blood cell,uridine diphosphate glucose 4 epimerase,rbc,ccnt,enzymatic activity mass,active,u g hb,0.076639384
bilirubin in plasma,62851-1,phenx fasting plasma glucose diabetes screening blood draw protocol 140801,phenx fasting plasma glucose diabetes screening blood draw protocol 140801,patient,,,trial,,0.055050693
bilirubin in plasma,104876-8,hematocrit volume fraction blood 1 hour post dose glucose,hematocrit 1h post dose glucose,blood,vfr,volume fraction,active,,0.093230866
bilirubin in plasma,104879-2,hematocrit volume fraction blood 2 5 hour post dose glucose,hematocrit 2 5h post dose glucose,blood,vfr,volume fraction,active,,0.09351819
bilirubin in plasma,104878-4,hematocrit volume fraction blood 2 hour post dose glucose,hematocrit 2h post dose glucose,blood,vfr,volume fraction,active,,0.09243795
bilirubin in plasma,62850-3,deprecated phenx measure fasting plasma glucose diabetes screening blood draw,phenx measure fasting plasma glucose diabetes screening blood draw,patient,,,deprecated,,0.057932597
bilirubin in plasma,104877-6,hematocrit volume fraction blood 1 5 hour post dose glucose,hematocrit 1 5h post dose glucose,blood,vfr,volume fraction,active,,0.09402474
bilirubin in plasma,96045-0,osmotic fragility red blood cell 10 glucose 48 hour 37 degree component incubation,osmotic fragility 10 glucose 48h 37 deg component incubation,rbc,nfr,,active,,0.07359096
bilirubin in plasma,49502-8,glucose 6 phosphate dehydrogenase entitic catalytic activity blood,glucose 6 phosphate dehydrogenase,blood,entcat,entitic catalytic activity,active,u 10 10 cell,0.09290465
bilirubin in plasma,74542-2,pyruvate kinase glucose 6 phosphate dehydrogenase enzymatic activity ratio red blood cell,pyruvate kinase glucose 6 phosphate dehydrogenase,rbc,crto,enzymatic activity ratio,active,ratio,0.08946398
bilirubin in plasma,32779-1,glucose 6 phosphatase enzymatic activity volume red blood cell,glucose 6 phosphatase,rbc,cell concentration,enzymatic activity volume,active,u 10 12,0.100487046
bilirubin in plasma,2357-2,glucose 6 phosphate dehydrogenase enzymatic activity volume red blood cell,glucose 6 phosphate dehydrogenase,rbc,cell concentration,enzymatic activity volume,active,u ml rbc,0.113779515
bilirubin in plasma,32546-4,glucose 6 phosphate dehydrogenase enzymatic activity mass red blood cell,glucose 6 phosphate dehydrogenase,rbc,ccnt,enzymatic activity mass,active,u g hb,0.088008694
bilirubin in plasma,71593-8,glucose 6 phosphate dehydrogenase enzymatic activity substance red blood cell,glucose 6 phosphate dehydrogenase,rbc,csub,enzymatic activity substance,active,u mmol hb,0.100810915
bilirubin in plasma,33287-4,glucose 6 phosphate dehydrogenase presence db,glucose 6 phosphate dehydrogenase,blood dot,prthr,presence,active,,0.06977275
bilirubin in plasma,2356-4,glucose 6 phosphate dehydrogenase presence red blood cell,glucose 6 phosphate dehydrogenase,rbc,prthr,presence,active,,0.07093525
bilirubin in plasma,42319-4,glucose 6 phosphate dehydrogenase phenotype interpretation red blood cell,glucose 6 phosphate dehydrogenase phenotype,rbc,imp,interpretation,active,,0.06778266
bilirubin in plasma,74469-8,glucose 6 phosphate dehydrogenase pyruvate kinase ratio blood,glucose 6 phosphate dehydrogenase pyruvate kinase,blood,ratio,ratio,active,ratio,0.08719382
bilirubin in plasma,58089-4,glucose 6 phosphate dehydrogenase newborn screen interpretation,glucose 6 phosphate dehydrogenase,blood dot,imp,,active,,0.07057775
bilirubin in plasma,49925-1,glucose 6 phosphate dehydrogenase enzymatic activity mass red blood cell glock mclean,glucose 6 phosphate dehydrogenase,rbc,ccnt,enzymatic activity mass,active,u g hb,0.09072242
bilirubin in plasma,49926-9,glucose 6 phosphate dehydrogenase enzymatic activity mass red blood cell method,glucose 6 phosphate dehydrogenase,rbc,ccnt,enzymatic activity mass,active,u g hb,0.08637604
bilirubin in plasma,49266-0,glucose 6 phosphate dehydrogenase phenotype interpretation red blood cell narrative,glucose 6 phosphate dehydrogenase phenotype,rbc,imp,interpretation,active,,0.06760364
bilirubin in plasma,58091-0,glucose 6 phosphate dehydrogenase newborn screen panel,glucose 6 phosphate dehydrogenase newborn screen panel,blood dot,,,active,,0.058710314
bilirubin in plasma,58090-2,glucose 6 phosphate dehydrogenase newborn screening comment discussion,glucose 6 phosphate dehydrogenase newborn screening comment discussion,blood dot,txt,,active,,0.061673235
bilirubin in plasma,2360-6,glucose 6 phosphate dehydrogenase enzymatic activity volume leukocyte,glucose 6 phosphate dehydrogenase,wbc,cell concentration,enzymatic activity volume,active,,0.09803089
bilirubin in plasma,21680-4,g6pd gene mutation found identifier blood tissue molecular genetics method nominal,g6pd gene targeted mutation analysis,blood tiss,prid,identifier,active,,0.045531947
bilirubin in plasma,94231-8,g6pd gene full mutation analysis blood tissue sequencing,g6pd gene full mutation analysis,blood tiss,find,,active,,0.044206996
bilirubin in plasma,21681-2,g6pd gene mutation tested blood tissue molecular genetics method nominal,g6pd gene mutation tested,blood tiss,prid,,active,,0.054841552
bilirubin in plasma,54234-0,cell count diff panel gluc prot body fluid,cell count differential panel glucose protein,body field,,,active,,0.044981744
bilirubin in plasma,54230-8,cell count diff panel gluc prot cerebral spinal fluid,cell count differential panel glucose protein,csf,,,active,,0.047397364
bilirubin in plasma,49862-6,g6pc gene targeted mutation analysis blood tissue molecular genetics method,g6pc gene targeted mutation analysis,blood tiss,find,,active,,0.046883695
bilirubin in plasma,64082-1,bilirubin indirect mass volume cord blood,bilirubin non glucuronidated,bldco,mass concentration,mass volume,active,mg dl,0.47690767
bilirubin in plasma,78442-1,bilirubin indirect mole volume peritoneal fluid,bilirubin non glucuronidated,periton field,substance concentration,mole volume,active,umol l,0.45811537
bilirubin in plasma,29210-2,bilirubin indirect mass volume body fluid,bilirubin non glucuronidated,body field,mass concentration,mass volume,active,mg dl,0.47299352
bilirubin in plasma,39463-5,bilirubin indirect mole volume body fluid,bilirubin non glucuronidated,body field,substance concentration,mole volume,active,umol l,0.4570307
bilirubin in plasma,75697-3,bilirubin fraction panel mole volume serum plasma,bilirubin fraction panel,serum plasma,substance concentration,mole volume,active,,0.5590001
bilirubin in plasma,48623-3,bilirubin direct mass volume cord blood,bilirubin glucuronidated bilirubin albumin bound,bldco,mass concentration,mass volume,active,mg dl,0.46970794
bilirubin in plasma,56906-1,bilirubin direct mass volume peritoneal fluid,bilirubin glucuronidated bilirubin albumin bound,periton field,mass concentration,mass volume,active,mg dl,0.4709918
bilirubin in plasma,56905-3,bilirubin direct mass volume pleural fluid,bilirubin glucuronidated bilirubin albumin bound,plr field,mass concentration,mass volume,active,mg dl,0.4623232
bilirubin in plasma,14152-3,bilirubin direct mass volume body fluid,bilirubin glucuronidated bilirubin albumin bound,body field,mass concentration,mass volume,active,mg dl,0.47476116
bilirubin in plasma,25564-6,bilirubin direct mole volume body fluid,bilirubin glucuronidated bilirubin albumin bound,body field,substance concentration,mole volume,active,umol l,0.4509666
bilirubin in plasma,44075-0,bilirubin cast presence urine sediment light microscopy,bilirubin cast,urine sed,prthr,presence,active,,0.4431107
bilirubin in plasma,53083-2,bilirubin conjugated mole volume dialysis fluid,bilirubin glucuronidated,dial field,substance concentration,mole volume,active,umol l,0.44494697
bilirubin in plasma,72261-1,bilirubin excess mole volume serum csf,bilirubin excess,serum csf,substance concentration,mole volume,active,umol l,0.4765115
bilirubin in plasma,58941-6,bilirubin mass volume skin,bilirubin,skin,mass concentration,mass volume,active,mg dl,0.7955932
bilirubin in plasma,77452-1,bilirubin presence peritoneal fluid,bilirubin,periton field,prthr,presence,active,,0.78401655
bilirubin in plasma,72898-0,bilirubin mole volume skin,bilirubin,skin,substance concentration,mole volume,active,umol l,0.77437186
bilirubin in plasma,78441-3,bilirubin conjugated mole volume peritoneal fluid,bilirubin glucuronidated,periton field,substance concentration,mole volume,active,umol l,0.45233002
bilirubin in plasma,33458-1,bilirubin conjugated mass volume body fluid,bilirubin glucuronidated,body field,mass concentration,mass volume,active,mg dl,0.4631682
bilirubin in plasma,39462-7,bilirubin conjugated mole volume body fluid,bilirubin glucuronidated,body field,substance concentration,mole volume,active,umol l,0.4513553
bilirubin in plasma,50041-3,bilirubin urobilinogen presence urine,bilirubin urobilinogen,urine,prthr,presence,active,,0.43907195
bilirubin in plasma,58450-8,bilirubin presence urine confirmatory method,bilirubin,urine,prthr,presence,active,,0.7689679
bilirubin in plasma,49763-6,bilirubin total mass volume pericardial fluid,bilirubin,pericard field,mass concentration,mass volume,active,mg dl,0.79661155
bilirubin in plasma,1978-6,bilirubin total mass volume urine,bilirubin,urine,mass concentration,mass volume,active,mg dl,0.79516894
bilirubin in plasma,1976-0,bilirubin total presence stool,bilirubin,stool,prthr,presence,active,,0.7605909
bilirubin in plasma,1977-8,bilirubin total presence urine,bilirubin,urine,prthr,presence,active,,0.770872
bilirubin in plasma,70199-5,bilirubin total mole volume urine,bilirubin,urine,substance concentration,mole volume,active,umol l,0.78064775
bilirubin in plasma,11132-8,deprecated bilirubin mass volume body fluid,bilirubin,body field,mass concentration,mass volume,deprecated,,0.78747565
bilirubin in plasma,42719-5,bilirubin total mass volume blood,bilirubin,blood,mass concentration,mass volume,active,mg dl,0.8159082
bilirubin in plasma,14420-4,bilirubin total mass volume dialysis fluid,bilirubin,dial field,mass concentration,mass volume,active,mg dl,0.7950166
bilirubin in plasma,14424-6,bilirubin total mass volume gastric fluid,bilirubin,gast field,mass concentration,mass volume,active,mg dl,0.7963963
bilirubin in plasma,14422-0,bilirubin total mass volume peritoneal fluid,bilirubin,periton field,mass concentration,mass volume,active,mg dl,0.8035966
bilirubin in plasma,14421-2,bilirubin total mass volume pleural fluid,bilirubin,plr field,mass concentration,mass volume,active,mg dl,0.79497457
bilirubin in plasma,33870-7,bilirubin total presence specimen,bilirubin,xxx,prthr,presence,active,,0.7713787
bilirubin in plasma,54363-7,bilirubin total mole volume blood,bilirubin,blood,substance concentration,mole volume,active,umol l,0.7958349
bilirubin in plasma,54362-9,bilirubin total mole volume dialysis fluid,bilirubin,dial field,substance concentration,mole volume,active,umol l,0.7790661
bilirubin in plasma,39461-9,bilirubin total mole volume peritoneal fluid,bilirubin,periton field,substance concentration,mole volume,active,umol l,0.7862386
bilirubin in plasma,59827-6,bilirubin total mass volume arterial blood,bilirubin,blda,mass concentration,mass volume,active,mg dl,0.8119845
bilirubin in plasma,59828-4,bilirubin total mass volume venous blood,bilirubin,bldv,mass concentration,mass volume,active,mg dl,0.8050603
bilirubin in plasma,20505-4,bilirubin total mass volume urine test strip,bilirubin,urine,mass concentration,mass volume,active,mg dl,0.7970475
bilirubin in plasma,13877-6,bilirubin total presence amniotic fluid,bilirubin,amnio field,prthr,presence,active,,0.7820026
bilirubin in plasma,43824-2,bilirubin total presence body fluid,bilirubin,body field,prthr,presence,active,,0.7722365
bilirubin in plasma,53415-6,bilirubin total presence cerebral spinal fluid,bilirubin,csf,prthr,presence,active,,0.7693551
bilirubin in plasma,5770-3,bilirubin total presence urine test strip,bilirubin,urine,prthr,presence,active,,0.7732775
bilirubin in plasma,89872-6,bilirubin total mole volume arterial blood,bilirubin,blda,substance concentration,mole volume,active,umol l,0.79089963
bilirubin in plasma,47994-9,bilirubin total mole volume cord blood,bilirubin,bldco,substance concentration,mole volume,active,umol l,0.7877627
bilirubin in plasma,89871-8,bilirubin total mole volume venous blood,bilirubin,bldv,substance concentration,mole volume,active,umol l,0.7839001
bilirubin in plasma,41016-7,bilirubin total mole volume urine test strip,bilirubin,urine,substance concentration,mole volume,active,umol l,0.7779273
bilirubin in plasma,32303-0,bilirubin total mole volume specimen,bilirubin,xxx,substance concentration,mole volume,active,mmol l,0.78951716
bilirubin in plasma,59166-9,bilirubin total mole time 24 hour stool,bilirubin,stool,srat,mole time,active,mmol,0.7719868
bilirubin in plasma,33236-1,bilirubin crystal presence urine computer assisted method,bilirubin crystal,urine,prthr,presence,active,,0.44101465
bilirubin in plasma,5771-1,bilirubin crystal presence urine sediment light microscopy,bilirubin crystal,urine sed,prthr,presence,active,,0.44467774
bilirubin in plasma,47225-8,bilirubin total interpretation amniotic fluid,bilirubin,amnio field,imp,interpretation,active,,0.77809525
bilirubin in plasma,1972-9,bilirubin total mass volume amniotic fluid,bilirubin,amnio field,mass concentration,mass volume,active,mg dl,0.7957838
bilirubin in plasma,48624-1,bilirubin total mass volume cord blood,bilirubin,bldco,mass concentration,mass volume,active,mg dl,0.8030442
bilirubin in plasma,1974-5,bilirubin total mass volume body fluid,bilirubin,body field,mass concentration,mass volume,active,mg dl,0.7950558
bilirubin in plasma,1973-7,bilirubin total mass volume cerebral spinal fluid,bilirubin,csf,mass concentration,mass volume,active,mg dl,0.79119015
bilirubin in plasma,44033-9,bilirubin total presence 24 hour urine test strip,bilirubin,urine,prthr,presence,active,,0.76883394
bilirubin in plasma,72925-1,bilirubin total mole volume amniotic fluid,bilirubin,amnio field,substance concentration,mole volume,active,umol l,0.7850559
bilirubin in plasma,29767-1,bilirubin total mole volume body fluid,bilirubin,body field,substance concentration,mole volume,active,umol l mmol l,0.7880182
bilirubin in plasma,74906-9,bilirubin total mole volume cerebral spinal fluid,bilirubin,csf,substance concentration,mole volume,active,umol l,0.77386713
bilirubin in plasma,74434-2,bilirubin total total stone infrared spectroscopy,bilirubin total,calculus,mfr,,active,,0.44706634
bilirubin in plasma,25146-2,bilirubin crystal area urine sediment microscopy high power field,bilirubin crystal,urine sed,naric,area,active,hpf,0.45826313
bilirubin in plasma,38442-0,bilirubin crystal area urine sediment microscopy low power field,bilirubin crystal,urine sed,naric,area,active,lpf,0.45494118
bilirubin in plasma,14423-8,bilirubin total mass volume synovial fluid,bilirubin,synv field,mass concentration,mass volume,active,mg dl,0.79657656
bilirubin in plasma,53327-3,bilirubin total mass volume urine automated test strip,bilirubin,urine,mass concentration,mass volume,active,mg dl,0.7966124
bilirubin in plasma,35193-2,bilirubin total mass mole volume body fluid,bilirubin,body field,mass substance concentration,mass mole volume,discouraged,,0.7792643
bilirubin in plasma,50551-1,bilirubin total presence urine automated test strip,bilirubin,urine,prthr,presence,active,,0.77380216
bilirubin in plasma,97770-2,bilirubin total mole volume capillary blood,bilirubin,bldc,substance concentration,mole volume,active,umol l,0.7866891
bilirubin in plasma,68367-2,bilirubin total mole volume urine automated test strip,bilirubin,urine,substance concentration,mole volume,active,umol l,0.78091353
bilirubin in plasma,43428-2,bilirubin microscopic observation identifier tissue hall stain,bilirubin microscopic observation,tiss,prid,identifier,active,,0.43869346
bilirubin in plasma,43887-9,bilirubin total presence amniotic fluid spectrophotometry direct,bilirubin,amnio field,prthr,presence,active,,0.785892
bilirubin in plasma,27198-1,bilirubin total unit volume amniotic fluid spectrophotometry direct,bilirubin,amnio field,amount concentration,unit volume,active,,0.8028012
bilirubin in plasma,12476-8,bilirubin total mass volume amniotic fluid spectrophotometry direct,bilirubin,amnio field,mass concentration,mass volume,active,mg dl,0.8141661
bilirubin in plasma,72264-5,bilirubin excess oxyhemoglobin methemoglobin xanthochromia albumin quotient panel serum csf,bilirubin excess oxyhemoglobin methemoglobin xanthochromia albumin quotient panel,serum csf,,,active,,0.43920305
bilirubin in plasma,1384-7,calcium mole volume blood post calcium infusion,calcium post calcium infusion,blood,substance concentration,mole volume,active,mmol l,0.080101885
bilirubin in plasma,25873-1,calcium mole volume urine pre 500 mg calcium po,calcium pre 500 mg calcium po,urine,substance concentration,mole volume,active,mmol l,0.06735257
bilirubin in plasma,25584-4,calcium mole volume urine 5 hour post 500 mg calcium po,calcium 5h post 500 mg calcium po,urine,substance concentration,mole volume,active,mmol l,0.06319897
bilirubin in plasma,38643-3,calcium cyanamide mass volume air,calcium cyanamide,air,mass concentration,mass volume,active,,0.05920602
bilirubin in plasma,29276-3,calcium presence urine,calcium,urine,prthr,presence,active,,0.052604612
bilirubin in plasma,50836-6,calcium mole mass hair,calcium,hair,scnt,mole mass,active,umol g,0.043505322
bilirubin in plasma,1383-9,calcium mole volume serum plasma pre 2 4 mg kg calcium short iv,calcium pre 2 4 mg kg calcium short iv,serum plasma,substance concentration,mole volume,active,mmol l,0.18017383
bilirubin in plasma,94255-7,calcium mass volume sweat,calcium,sweat,mass concentration,mass volume,active,mg dl,0.06520425
bilirubin in plasma,9467-2,calcium mass volume water,calcium,water,mass concentration,mass volume,active,ppm,0.04728395
bilirubin in plasma,27182-5,calcium presence blood,calcium,blood,prthr,presence,active,,0.069101535
bilirubin in plasma,2003-2,deprecated calcium,calcium,urine,substance concentration,,deprecated,,0.044187725
bilirubin in plasma,57919-3,calcium mass volume nonbiological fluid,calcium,flu nonbiological,mass concentration,mass volume,active,mg dl,0.08008724
bilirubin in plasma,17862-4,calcium mass volume urine,calcium,urine,mass concentration,mass volume,active,mg dl,0.077366956
bilirubin in plasma,1996-8,calcium mole volume blood,calcium,blood,substance concentration,mole volume,active,mmol l meq l,0.081127696
bilirubin in plasma,54364-5,calcium mole volume nonbiological fluid,calcium,flu nonbiological,substance concentration,mole volume,active,mmol l,0.07232402
bilirubin in plasma,2004-0,calcium mole volume urine,calcium,urine,substance concentration,mole volume,active,mmol l,0.06465757
bilirubin in plasma,1381-3,calcium mole volume serum plasma 10 minute post 2 4 mg kg calcium short iv,calcium 10m post 2 4 mg kg calcium short iv,serum plasma,substance concentration,mole volume,active,mmol l,0.17789932
bilirubin in plasma,1382-1,calcium mole volume serum plasma 5 minute post 2 4 mg kg calcium short iv,calcium 5m post 2 4 mg kg calcium short iv,serum plasma,substance concentration,mole volume,active,mmol l,0.17538479
